segment_length,run_index,start_index
50,1,1567
50,2,296
50,3,1436
50,4,444
50,5,606
50,6,1860
50,7,319
50,8,194
50,9,597
50,10,420
50,11,1073
50,12,1556
50,13,1241
50,14,1637
50,15,1071
50,16,134
50,17,286
50,18,129
50,19,287
50,20,1094
50,21,1020
50,22,1032
50,23,715
50,24,85
50,25,532
50,26,225
50,27,1354
50,28,554
50,29,446
50,30,1113
50,31,1646
50,32,1804
50,33,1725
50,34,202
50,35,1948
50,36,260
50,37,1218
50,38,501
50,39,430
50,40,9
50,41,1954
50,42,1658
50,43,1318
50,44,761
50,45,873
50,46,1121
50,47,1425
50,48,1934
50,49,962
50,50,1626
50,51,1495
50,52,574
50,53,1780
50,54,949
50,55,1384
50,56,863
50,57,1715
50,58,1588
50,59,159
50,60,1614
50,61,1357
50,62,526
50,63,744
50,64,1925
50,65,249
50,66,1160
50,67,734
50,68,407
50,69,1123
50,70,1916
50,71,1495
50,72,1793
50,73,1221
50,74,201
50,75,447
50,76,449
50,77,907
50,78,769
50,79,955
50,80,261
50,81,1523
50,82,1137
50,83,1117
50,84,1774
50,85,1477
50,86,1637
50,87,1096
50,88,1864
50,89,1398
50,90,239
50,91,1771
50,92,1622
50,93,1115
50,94,323
50,95,907
50,96,62
50,97,27
50,98,1447
50,99,1009
50,100,163
50,101,1922
50,102,1108
50,103,311
50,104,214
50,105,1827
50,106,789
50,107,1732
50,108,444
50,109,1029
50,110,1688
50,111,580
50,112,1927
50,113,727
50,114,1940
50,115,1456
50,116,1414
50,117,188
50,118,93
50,119,455
50,120,357
50,121,818
50,122,317
50,123,1228
50,124,275
50,125,810
50,126,1137
50,127,1432
50,128,358
50,129,1284
50,130,1175
50,131,1242
50,132,693
50,133,1764
50,134,821
50,135,1405
50,136,544
50,137,1102
50,138,164
50,139,1553
50,140,20
50,141,1046
50,142,1421
50,143,1844
50,144,635
50,145,1079
50,146,432
50,147,1483
50,148,818
50,149,1445
50,150,999
50,151,1269
50,152,1761
50,153,1907
50,154,1284
50,155,1214
50,156,1424
50,157,1217
50,158,1741
50,159,326
50,160,1859
50,161,561
50,162,1564
50,163,886
50,164,1746
50,165,1615
50,166,1388
50,167,997
50,168,471
50,169,1772
50,170,1622
50,171,1209
50,172,1261
50,173,1492
50,174,1256
50,175,1679
50,176,223
50,177,147
50,178,248
50,179,1002
50,180,1745
50,181,828
50,182,94
50,183,1225
50,184,822
50,185,1698
50,186,88
50,187,464
50,188,1572
50,189,1289
50,190,618
50,191,358
50,192,1520
50,193,1256
50,194,1598
50,195,1577
50,196,527
50,197,1596
50,198,640
50,199,563
50,200,848
75,1,365
75,2,669
75,3,766
75,4,98
75,5,912
75,6,973
75,7,7
75,8,1678
75,9,54
75,10,1840
75,11,73
75,12,1847
75,13,396
75,14,783
75,15,862
75,16,1594
75,17,1720
