segment_length,rank0,rank1
50,200,0
75,200,0
100,200,0
125,200,0
150,200,0
175,200,0
200,200,0
225,200,0
250,200,0
275,191,9
300,189,11
325,181,19
350,174,26
375,165,35
400,174,26
425,171,29
450,165,35
475,160,40
500,174,26
525,176,24
550,171,29
575,169,31
600,181,19
625,159,41
650,170,30
675,166,34
700,160,40
725,169,31
750,174,26
775,163,37
800,166,34
825,161,39
850,156,44
875,170,30
900,162,38
925,175,25
950,155,45
975,159,41
1000,165,35
1025,152,48
1050,165,35
1075,156,44
1100,148,52
1125,153,47
1150,151,49
1175,144,56
1200,148,52
1225,144,56
1250,137,63
1275,152,48
1300,123,77
1325,137,63
1350,137,63
1375,130,70
1400,136,64
1425,129,71
1450,120,80
1475,126,74
1500,120,80
