segment_length,run_index,start_index
50,1,818
50,2,155
50,3,749
50,4,232
50,5,316
50,6,971
50,7,167
50,8,101
50,9,312
50,10,219
50,11,560
50,12,812
50,13,647
50,14,854
50,15,559
50,16,70
50,17,150
50,18,68
50,19,150
50,20,571
50,21,532
50,22,539
50,23,373
50,24,45
50,25,278
50,26,117
50,27,707
50,28,289
50,29,233
50,30,581
50,31,859
50,32,941
50,33,900
50,34,106
50,35,1017
50,36,136
50,37,636
50,38,262
50,39,225
50,40,5
50,41,1020
50,42,865
50,43,688
50,44,397
50,45,456
50,46,585
50,47,744
50,48,1009
50,49,502
50,50,849
50,51,780
50,52,300
50,53,929
50,54,495
50,55,722
50,56,451
50,57,895
50,58,829
50,59,83
50,60,842
50,61,708
50,62,274
50,63,388
50,64,1004
50,65,130
50,66,606
50,67,383
50,68,212
50,69,586
50,70,1000
50,71,780
50,72,936
50,73,637
50,74,105
50,75,234
50,76,234
50,77,473
50,78,401
50,79,499
50,80,136
50,81,795
50,82,593
50,83,583
50,84,926
50,85,771
50,86,854
50,87,572
50,88,973
50,89,730
50,90,125
50,91,924
50,92,846
50,93,582
50,94,169
50,95,474
50,96,33
50,97,14
50,98,755
50,99,527
50,100,85
50,101,1003
50,102,578
50,103,162
50,104,112
50,105,953
50,106,412
50,107,904
50,108,232
50,109,537
50,110,881
50,111,303
50,112,1005
50,113,380
50,114,1012
50,115,760
50,116,738
50,117,98
50,118,49
50,119,237
50,120,187
50,121,427
50,122,166
50,123,641
50,124,144
50,125,423
50,126,594
50,127,748
50,128,187
50,129,670
50,130,613
50,131,648
50,132,362
50,133,920
50,134,428
50,135,733
50,136,284
50,137,575
50,138,86
50,139,811
50,140,11
50,141,546
50,142,741
50,143,963
50,144,331
50,145,563
50,146,226
50,147,774
50,148,427
50,149,754
50,150,522
50,151,662
50,152,919
50,153,995
50,154,670
50,155,634
50,156,743
50,157,635
50,158,909
50,159,171
50,160,970
50,161,293
50,162,816
50,163,462
50,164,911
50,165,843
50,166,725
50,167,521
50,168,246
50,169,925
50,170,847
50,171,631
50,172,658
50,173,779
50,174,655
50,175,876
50,176,117
50,177,77
50,178,130
50,179,523
50,180,911
50,181,432
50,182,49
50,183,639
50,184,429
50,185,886
50,186,46
50,187,242
50,188,820
50,189,673
50,190,323
50,191,187
50,192,793
50,193,656
50,194,834
50,195,823
50,196,275
50,197,833
50,198,334
50,199,294
50,200,443
75,1,189
75,2,345
75,3,395
75,4,51
75,5,470
75,6,502
75,7,4
75,8,865
75,9,28
75,10,949
75,11,38
75,12,953
75,13,204
75,14,404
75,15,445
75,16,822
75,17,887
75,18,922
75,19,718
75,20,540
75,21,987
75,22,316
75,23,715
75,24,235
75,25,152
75,26,741
75,27,957
75,28,671
75,29,742
75,30,595
75,31,181
75,32,788
75,33,745
75,34,217
75,35,588
75,36,356
75,37,5
75,38,975
75,39,932
75,40,456
75,41,373
75,42,949
75,43,727
75,44,277
75,45,752
75,46,185
75,47,37
75,48,729
75,49,476
75,50,772
75,51,337
75,52,406
75,53,796
75,54,603
75,55,860
75,56,902
75,57,422
75,58,831
75,59,749
75,60,965
75,61,164
75,62,348
75,63,497
75,64,511
75,65,668
75,66,132
75,67,110
75,68,989
75,69,705
75,70,774
75,71,810
75,72,409
75,73,77
75,74,312
75,75,796
75,76,766
75,77,24
75,78,519
75,79,598
75,80,898
75,81,247
75,82,75
75,83,994
75,84,518
75,85,110
75,86,463
75,87,449
75,88,544
75,89,139
75,90,57
75,91,667
75,92,281
75,93,501
75,94,406
75,95,508
75,96,352
75,97,706
75,98,373
75,99,397
75,100,472
75,101,557
75,102,104
75,103,974
75,104,511
75,105,718
75,106,964
75,107,60
75,108,885
75,109,767
75,110,506
75,111,579
75,112,354
75,113,788
75,114,93
75,115,983
75,116,454
75,117,512
75,118,150
75,119,919
75,120,655
75,121,610
75,122,525
75,123,192
75,124,573
75,125,727
75,126,798
75,127,277
75,128,164
75,129,885
75,130,400
75,131,767
75,132,610
75,133,344
75,134,894
75,135,300
75,136,320
75,137,797
75,138,319
75,139,687
75,140,23
75,141,617
75,142,841
75,143,442
75,144,774
75,145,587
75,146,662
75,147,437
75,148,878
75,149,74
75,150,243
75,151,994
75,152,606
75,153,372
75,154,339
75,155,624
75,156,820
75,157,340
75,158,493
75,159,13
75,160,196
75,161,415
75,162,8
75,163,407
75,164,594
75,165,279
75,166,209
75,167,363
75,168,93
75,169,407
75,170,480
75,171,866
75,172,738
75,173,944
75,174,753
75,175,869
75,176,279
75,177,842
75,178,498
75,179,648
75,180,991
75,181,940
75,182,129
75,183,70
75,184,731
75,185,515
75,186,152
75,187,736
75,188,988
75,189,900
75,190,909
75,191,139
75,192,180
75,193,339
75,194,148
75,195,484
75,196,122
75,197,427
75,198,398
75,199,797
75,200,573
100,1,197
100,2,387
100,3,913
100,4,30
100,5,218
100,6,201
100,7,87
100,8,4
100,9,770
100,10,711
100,11,175
100,12,643
100,13,386
100,14,721
100,15,770
100,16,651
100,17,917
100,18,39
100,19,816
100,20,367
100,21,119
100,22,145
100,23,877
100,24,254
100,25,416
100,26,410
100,27,543
100,28,737
100,29,415
100,30,66
100,31,504
100,32,828
100,33,225
100,34,966
100,35,362
100,36,362
100,37,762
100,38,177
100,39,338
100,40,74
100,41,6
100,42,474
100,43,233
100,44,705
100,45,387
100,46,253
100,47,458
100,48,595
100,49,216
100,50,207
100,51,527
100,52,880
100,53,361
100,54,760
100,55,292
100,56,105
100,57,439
100,58,128
100,59,477
100,60,769
100,61,112
100,62,476
100,63,244
100,64,433
100,65,380
100,66,740
100,67,858
100,68,255
100,69,568
100,70,92
100,71,101
100,72,860
100,73,63
100,74,795
100,75,966
100,76,271
100,77,863
100,78,155
100,79,374
100,80,191
100,81,913
100,82,66
100,83,587
100,84,182
100,85,401
100,86,76
100,87,534
100,88,133
100,89,903
100,90,825
100,91,640
100,92,292
100,93,773
100,94,71
100,95,754
100,96,569
100,97,490
100,98,801
100,99,196
100,100,137
100,101,970
100,102,912
100,103,566
100,104,308
100,105,861
100,106,682
100,107,625
100,108,533
100,109,628
100,110,504
100,111,253
100,112,765
100,113,363
100,114,688
100,115,303
100,116,568
100,117,642
100,118,814
100,119,182
100,120,886
100,121,500
100,122,575
100,123,835
100,124,331
100,125,324
100,126,324
100,127,656
100,128,177
100,129,449
100,130,498
100,131,650
100,132,13
100,133,399
100,134,850
100,135,667
100,136,726
100,137,169
100,138,542
100,139,967
100,140,797
100,141,736
100,142,829
100,143,46
100,144,831
100,145,130
100,146,165
100,147,694
100,148,590
100,149,358
100,150,337
100,151,428
100,152,823
100,153,535
100,154,753
100,155,78
100,156,18
100,157,527
100,158,430
100,159,21
100,160,115
100,161,754
100,162,933
100,163,937
100,164,656
100,165,356
100,166,783
100,167,957
100,168,793
100,169,745
100,170,176
100,171,419
100,172,500
100,173,570
100,174,52
100,175,424
100,176,716
100,177,489
100,178,71
100,179,807
100,180,619
100,181,591
100,182,152
100,183,275
100,184,43
100,185,103
100,186,581
100,187,131
100,188,640
100,189,706
100,190,324
100,191,285
100,192,686
100,193,272
100,194,827
100,195,617
100,196,508
100,197,756
100,198,390
100,199,162
100,200,241
125,1,326
125,2,881
125,3,216
125,4,596
125,5,854
125,6,389
125,7,599
125,8,765
125,9,128
125,10,146
125,11,222
125,12,847
125,13,332
125,14,834
125,15,265
125,16,703
125,17,651
125,18,938
125,19,503
125,20,619
125,21,347
125,22,9
125,23,424
125,24,198
125,25,485
125,26,921
125,27,799
125,28,568
125,29,745
125,30,103
125,31,468
125,32,273
125,33,447
125,34,595
125,35,723
125,36,802
125,37,404
125,38,879
125,39,116
125,40,573
125,41,700
125,42,98
125,43,925
125,44,540
125,45,350
125,46,397
125,47,733
125,48,337
125,49,297
125,50,659
125,51,921
125,52,764
125,53,394
125,54,199
125,55,580
125,56,687
125,57,618
125,58,30
125,59,887
125,60,199
125,61,467
125,62,213
125,63,659
125,64,104
125,65,685
125,66,797
125,67,940
125,68,676
125,69,117
125,70,76
125,71,392
125,72,108
125,73,31
125,74,87
125,75,396
125,76,787
125,77,494
125,78,165
125,79,680
125,80,541
125,81,468
125,82,878
125,83,700
125,84,172
125,85,499
125,86,553
125,87,642
125,88,643
125,89,863
125,90,837
125,91,685
125,92,866
125,93,62
125,94,594
