segment_length,run_index,start_index
100,1,20218
100,2,3818
100,3,18532
100,4,5730
100,5,7815
100,6,24006
100,7,4118
100,8,2493
100,9,7703
100,10,5419
100,11,13840
100,12,20083
100,13,16008
100,14,21120
100,15,13820
100,16,1723
100,17,3689
100,18,1665
100,19,3704
100,20,14120
100,21,13160
100,22,13312
100,23,9221
100,24,1094
100,25,6857
100,26,2893
100,27,17477
100,28,7149
100,29,5750
100,30,14362
125,1,21224
125,2,23255
125,3,22242
125,4,2603
125,5,25120
125,6,3343
125,7,15707
125,8,6459
125,9,5545
125,10,110
125,11,25195
125,12,21378
125,13,16990
125,14,9812
125,15,11255
125,16,14453
125,17,18367
125,18,24934
125,19,12402
125,20,20962
125,21,19268
125,22,7400
125,23,22943
125,24,12228
125,25,17841
125,26,11126
125,27,22113
125,28,20475
125,29,2043
125,30,20803
150,1,17480
150,2,6766
150,3,9580
150,4,24791
150,5,3203
150,6,14942
150,7,9444
150,8,5233
150,9,14465
150,10,24684
150,11,19251
150,12,23100
150,13,15729
150,14,2586
150,15,5756
150,16,5773
150,17,11680
150,18,9898
150,19,12299
150,20,3355
150,21,19618
150,22,14642
150,23,14382
150,24,22844
150,25,19018
150,26,21079
150,27,14118
150,28,24011
150,29,18003
150,30,3075
175,1,22791
175,2,20868
175,3,14349
175,4,4158
175,5,11674
175,6,794
175,7,346
175,8,18620
175,9,12978
175,10,2089
175,11,24737
175,12,14254
175,13,3992
175,14,2746
175,15,23508
175,16,10143
175,17,22282
175,18,5709
175,19,13242
175,20,21720
175,21,7463
175,22,24791
175,23,9354
175,24,24963
175,25,18728
175,26,18193
175,27,2418
175,28,1196
175,29,5847
175,30,4593
200,1,10512
200,2,4073
200,3,15779
200,4,3525
200,5,10412
200,6,14618
200,7,18410
200,8,4602
200,9,16498
200,10,15106
200,11,15965
200,12,8902
200,13,22670
200,14,10544
200,15,18063
200,16,6985
200,17,14169
200,18,2100
200,19,19967
200,20,251
200,21,13445
200,22,18260
200,23,23710
200,24,8152
200,25,13868
200,26,5552
200,27,19065
200,28,10509
200,29,18573
200,30,12841
225,1,16292
225,2,22610
225,3,24494
225,4,16483
225,5,15591
225,6,18285
225,7,15630
225,8,22362
225,9,4187
225,10,23877
225,11,7195
225,12,20080
225,13,11371
225,14,22426
225,15,20734
225,16,17828
225,17,12804
225,18,6038
225,19,22756
225,20,20835
225,21,15521
225,22,16192
225,23,19156
225,24,16122
225,25,21564
225,26,2858
225,27,1877
225,28,3179
225,29,12864
225,30,22413
250,1,10625
250,2,1199
250,3,15715
250,4,10548
250,5,21788
250,6,1120
250,7,5951
250,8,20166
250,9,16536
250,10,7930
250,11,4592
250,12,19500
250,13,16115
250,14,20495
250,15,20231
250,16,6762
250,17,20473
250,18,8209
250,19,7216
250,20,10875
250,21,4743
250,22,8685
250,23,9953
250,24,1263
250,25,11849
250,26,12639
250,27,85
250,28,21802
250,29,692
250,30,23911
275,1,948
275,2,23982
275,3,5136
275,4,10166
275,5,11187
275,6,20690
275,7,22325
275,8,23209
275,9,18060
275,10,13585
275,11,24855
275,12,7940
275,13,17989
275,14,5905
275,15,3821
275,16,18660
275,17,24102
275,18,16892
275,19,18688
275,20,14964
275,21,4556
275,22,19826
275,23,18749
275,24,5460
275,25,14786
275,26,8964
275,27,113
275,28,24556
275,29,23453
275,30,11485
300,1,9366
300,2,23878
300,3,18282
300,4,6955
300,5,18909
300,6,4637
300,7,907
300,8,18326
300,9,11959
300,10,19425
300,11,8473
300,12,10206
300,13,20012
300,14,15166
300,15,21622
300,16,22682
300,17,10611
300,18,20890
300,19,18833
300,20,24267
300,21,4122
300,22,8748
300,23,12500
300,24,12836
300,25,16800
300,26,3302
300,27,2760
300,28,24879
300,29,17715
300,30,19466
325,1,20352
325,2,10257
325,3,1912
325,4,7828
325,5,20006
325,6,19231
325,7,589
325,8,13040
325,9,15023
325,10,22555
325,11,6202
325,12,1880
325,13,24968
325,14,13004
325,15,2764
325,16,11629
325,17,11270
325,18,13671
325,19,3482
325,20,1424
325,21,16753
325,22,7063
325,23,12592
325,24,10198
325,25,12763
325,26,8839
325,27,17740
325,28,9368
325,29,9966
325,30,11859
350,1,13987
350,2,2600
350,3,24442
350,4,12822
350,5,18022
350,6,24205
350,7,1485
350,8,22211
350,9,19252
350,10,12702
350,11,14517
350,12,8882
350,13,19767
350,14,2335
350,15,24681
350,16,11380
350,17,12843
350,18,3745
350,19,23055
350,20,16438
350,21,15312
350,22,13166
350,23,4815
350,24,14388
350,25,18257
350,26,20018
350,27,6938
350,28,4109
350,29,22222
350,30,10025
375,1,19242
375,2,15282
375,3,8608
375,4,22426
375,5,7511
375,6,8028
375,7,19994
375,8,7998
375,9,17219
375,10,572
375,11,15475
375,12,21095
375,13,11080
375,14,19403
375,15,14706
375,16,16587
375,17,10957
375,18,22023
375,19,1847
375,20,6091
375,21,24932
375,22,15190
375,23,9313
375,24,8492
375,25,15631
375,26,20553
375,27,8515
375,28,12351
375,29,306
375,30,4911
400,1,10384
400,2,179
400,3,10189
400,4,14878
400,5,6991
400,6,5221
400,7,9091
400,8,2331
400,9,10191
400,10,12013
400,11,21681
400,12,18496
400,13,23642
400,14,18867
400,15,21774
400,16,6985
400,17,21102
400,18,12476
400,19,16217
400,20,24835
400,21,23547
400,22,3224
400,23,1751
400,24,18318
400,25,12892
400,26,3806
400,27,18435
400,28,24751
400,29,22541
400,30,22766
