segment_length,run_index,start_index
100,1,6408
100,2,1210
100,3,5873
100,4,1816
100,5,2477
100,6,7608
100,7,1306
100,8,790
100,9,2442
100,10,1718
100,11,4386
100,12,6365
100,13,5074
100,14,6694
100,15,4380
100,16,546
100,17,1170
100,18,528
100,19,1174
100,20,4475
100,21,4171
100,22,4219
100,23,2923
100,24,347
100,25,2173
100,26,917
100,27,5539
100,28,2266
100,29,1822
100,30,4552
125,1,6712
125,2,7354
125,3,7034
125,4,824
125,5,7944
125,6,1058
125,7,4968
125,8,2043
125,9,1754
125,10,35
125,11,7968
125,12,6761
125,13,5373
125,14,3103
125,15,3560
125,16,4571
125,17,5809
125,18,7885
125,19,3922
125,20,6629
125,21,6094
125,22,2341
125,23,7256
125,24,3867
125,25,5642
125,26,3519
125,27,6993
125,28,6475
125,29,646
125,30,6579
150,1,5516
150,2,2136
150,3,3023
150,4,7823
150,5,1011
150,6,4715
150,7,2981
150,8,1652
150,9,4565
150,10,7789
150,11,6075
150,12,7290
150,13,4964
150,14,817
150,15,1817
150,16,1822
150,17,3686
150,18,3124
150,19,3881
150,20,1059
150,21,6191
150,22,4621
150,23,4539
150,24,7209
150,25,6002
150,26,6652
150,27,4456
150,28,7577
150,29,5681
150,30,971
175,1,7177
175,2,6571
175,3,4519
175,4,1310
175,5,3676
175,6,250
175,7,109
175,8,5863
175,9,4087
175,10,658
175,11,7789
175,12,4489
175,13,1257
175,14,865
175,15,7403
175,16,3194
175,17,7016
175,18,1798
175,19,4170
175,20,6840
175,21,2350
175,22,7807
175,23,2946
175,24,7861
175,25,5897
175,26,5729
175,27,762
175,28,377
175,29,1841
175,30,1447
200,1,3303
200,2,1280
200,3,4958
200,4,1108
200,5,3272
200,6,4593
200,7,5785
200,8,1446
200,9,5184
200,10,4747
200,11,5017
200,12,2797
200,13,7123
200,14,3313
200,15,5676
200,16,2195
200,17,4452
200,18,660
200,19,6274
200,20,79
200,21,4225
200,22,5738
200,23,7450
200,24,2562
200,25,4358
200,26,1745
200,27,5990
200,28,3302
200,29,5836
200,30,4035
225,1,5108
225,2,7089
225,3,7680
225,4,5168
225,5,4888
225,6,5733
225,7,4901
225,8,7011
225,9,1313
225,10,7486
225,11,2256
225,12,6296
225,13,3565
225,14,7031
225,15,6501
225,16,5590
225,17,4015
225,18,1893
225,19,7135
225,20,6532
225,21,4866
225,22,5077
225,23,6006
225,24,5055
225,25,6761
225,26,896
225,27,589
225,28,997
225,29,4033
225,30,7027
250,1,3324
250,2,375
250,3,4916
250,4,3300
250,5,6816
250,6,351
250,7,1862
250,8,6309
250,9,5173
250,10,2481
250,11,1437
250,12,6100
250,13,5042
250,14,6412
250,15,6329
250,16,2116
250,17,6405
250,18,2568
250,19,2258
250,20,3402
250,21,1484
250,22,2717
250,23,3114
250,24,396
250,25,3707
250,26,3954
250,27,27
250,28,6821
250,29,217
250,30,7481
275,1,296
275,2,7486
275,3,1604
275,4,3173
275,5,3492
275,6,6459
275,7,6969
275,8,7245
275,9,5638
275,10,4241
275,11,7759
275,12,2479
275,13,5616
275,14,1844
275,15,1193
275,16,5825
275,17,7524
275,18,5273
275,19,5834
275,20,4671
275,21,1422
275,22,6189
275,23,5853
275,24,1705
275,25,4616
275,26,2798
275,27,36
275,28,7666
275,29,7321
275,30,3585
300,1,2917
300,2,7437
300,3,5694
300,4,2166
300,5,5890
300,6,1445
300,7,283
300,8,5708
300,9,3725
300,10,6050
300,11,2639
300,12,3179
300,13,6233
300,14,4724
300,15,6735
300,16,7065
300,17,3305
300,18,6507
300,19,5866
300,20,7558
300,21,1284
300,22,2725
300,23,3894
300,24,3998
300,25,5233
300,26,1029
300,27,860
300,28,7749
300,29,5518
300,30,6063
325,1,6325
325,2,3188
325,3,594
325,4,2433
325,5,6218
325,6,5977
325,7,183
325,8,4053
325,9,4669
325,10,7010
325,11,1928
325,12,585
325,13,7760
325,14,4042
325,15,859
325,16,3614
325,17,3503
325,18,4249
325,19,1082
325,20,443
325,21,5207
325,22,2195
325,23,3914
325,24,3170
325,25,3967
325,26,2747
325,27,5513
325,28,2912
325,29,3097
325,30,3686
350,1,4337
350,2,807
350,3,7579
350,4,3976
350,5,5589
350,6,7506
350,7,461
350,8,6888
350,9,5970
350,10,3939
350,11,4502
350,12,2755
350,13,6130
350,14,724
350,15,7653
350,16,3529
350,17,3983
350,18,1162
350,19,7149
350,20,5098
350,21,4748
350,22,4083
350,23,1493
350,24,4462
350,25,5661
350,26,6208
350,27,2152
350,28,1275
350,29,6891
350,30,3109
375,1,5954
375,2,4728
375,3,2664
375,4,6939
375,5,2324
375,6,2484
375,7,6186
375,8,2475
375,9,5328
375,10,177
375,11,4788
375,12,6527
375,13,3428
375,14,6003
375,15,4550
375,16,5132
375,17,3390
375,18,6814
375,19,572
375,20,1885
375,21,7714
375,22,4700
375,23,2882
375,24,2628
375,25,4837
375,26,6359
375,27,2635
375,28,3822
375,29,95
375,30,1520
400,1,3206
400,2,56
400,3,3146
400,4,4593
400,5,2158
400,6,1612
400,7,2807
400,8,720
400,9,3146
400,10,3709
400,11,6693
400,12,5710
400,13,7299
400,14,5824
400,15,6722
400,16,2157
400,17,6514
400,18,3852
400,19,5006
400,20,7667
400,21,7269
400,22,996
400,23,541
400,24,5655
400,25,3980
400,26,1175
400,27,5691
400,28,7641
400,29,6959
400,30,7028
