segment_length,rank0,rank1
20,200,0
30,200,0
40,200,0
50,200,0
60,200,0
70,200,0
80,200,0
90,200,0
100,200,0
110,200,0
120,200,0
130,124,76
140,103,97
150,96,104
160,85,115
170,83,117
180,75,125
190,68,132
200,61,139
210,58,142
220,53,147
230,44,156
240,51,149
250,46,154
260,49,151
270,40,160
280,37,163
290,42,158
300,53,147
310,37,163
320,37,163
330,30,170
340,32,168
350,23,177
360,38,162
370,24,176
380,18,182
390,19,181
400,15,185
410,12,188
420,10,190
430,10,190
440,9,191
450,4,196
460,2,198
470,0,200
480,0,200
490,0,200
500,0,200
510,0,200
520,0,200
530,0,200
540,0,200
550,0,200
560,0,200
570,0,200
580,0,200
590,0,200
600,0,200
