segment_length,run_index,rank,births
20,1,0,""
20,2,0,""
20,3,0,""
20,4,0,""
20,5,0,""
20,6,0,""
20,7,0,""
20,8,0,""
20,9,0,""
20,10,0,""
20,11,0,""
20,12,0,""
20,13,0,""
20,14,0,""
20,15,0,""
20,16,0,""
20,17,0,""
20,18,0,""
20,19,0,""
20,20,0,""
20,21,0,""
20,22,0,""
20,23,0,""
20,24,0,""
20,25,0,""
20,26,0,""
20,27,0,""
20,28,0,""
20,29,0,""
20,30,0,""
20,31,0,""
20,32,0,""
20,33,0,""
20,34,0,""
20,35,0,""
20,36,0,""
20,37,0,""
20,38,0,""
20,39,0,""
20,40,0,""
20,41,0,""
20,42,0,""
20,43,0,""
20,44,0,""
20,45,0,""
20,46,0,""
20,47,0,""
20,48,0,""
20,49,0,""
20,50,0,""
20,51,0,""
20,52,0,""
20,53,0,""
20,54,0,""
20,55,0,""
20,56,0,""
20,57,0,""
20,58,0,""
20,59,0,""
20,60,0,""
20,61,0,""
20,62,0,""
20,63,0,""
20,64,0,""
20,65,0,""
20,66,0,""
20,67,0,""
20,68,0,""
20,69,0,""
20,70,0,""
20,71,0,""
20,72,0,""
20,73,0,""
20,74,0,""
20,75,0,""
20,76,0,""
20,77,0,""
20,78,0,""
20,79,0,""
20,80,0,""
20,81,0,""
20,82,0,""
20,83,0,""
20,84,0,""
20,85,0,""
20,86,0,""
20,87,0,""
20,88,0,""
20,89,0,""
20,90,0,""
20,91,0,""
20,92,0,""
20,93,0,""
20,94,0,""
20,95,0,""
20,96,0,""
20,97,0,""
20,98,0,""
20,99,0,""
20,100,0,""
30,1,0,""
30,2,0,""
30,3,0,""
30,4,0,""
30,5,0,""
30,6,0,""
30,7,0,""
30,8,0,""
30,9,0,""
30,10,0,""
30,11,0,""
30,12,0,""
30,13,0,""
30,14,0,""
30,15,0,""
30,16,0,""
30,17,0,""
30,18,0,""
30,19,0,""
30,20,0,""
30,21,0,""
30,22,0,""
30,23,0,""
30,24,0,""
30,25,0,""
30,26,0,""
30,27,0,""
30,28,0,""
30,29,0,""
30,30,0,""
30,31,0,""
30,32,0,""
30,33,0,""
30,34,0,""
30,35,0,""
30,36,0,""
30,37,0,""
30,38,0,""
30,39,0,""
30,40,0,""
30,41,0,""
30,42,0,""
30,43,0,""
