segment_length,run_index,start_index
20,1,754
20,2,143
20,3,691
20,4,214
20,5,292
20,6,896
20,7,154
20,8,93
20,9,288
20,10,203
20,11,517
20,12,749
20,13,597
20,14,788
20,15,516
20,16,65
20,17,138
20,18,63
20,19,139
20,20,527
20,21,491
20,22,497
20,23,344
20,24,41
20,25,256
20,26,108
20,27,652
20,28,267
20,29,215
20,30,536
20,31,793
20,32,868
20,33,831
20,34,98
20,35,938
20,36,125
20,37,587
20,38,242
20,39,207
20,40,5
20,41,941
20,42,798
20,43,635
20,44,367
20,45,421
20,46,540
20,47,686
20,48,931
20,49,463
20,50,783
20,51,720
20,52,277
20,53,857
20,54,457
20,55,666
20,56,416
20,57,826
20,58,765
20,59,77
20,60,777
20,61,654
20,62,253
20,63,358
20,64,927
20,65,120
20,66,559
20,67,353
20,68,196
20,69,541
20,70,923
20,71,720
20,72,863
20,73,588
20,74,97
20,75,216
20,76,216
20,77,437
20,78,370
20,79,460
20,80,126
20,81,733
20,82,548
20,83,538
20,84,854
20,85,711
20,86,788
20,87,528
20,88,898
20,89,673
20,90,115
20,91,853
20,92,781
20,93,537
20,94,156
20,95,437
20,96,30
20,97,13
20,98,697
20,99,486
20,100,79
30,1,916
30,2,528
30,3,148
30,4,102
30,5,870
30,6,376
30,7,825
30,8,212
30,9,490
30,10,804
30,11,277
30,12,918
30,13,347
30,14,924
30,15,693
30,16,674
30,17,90
30,18,45
30,19,217
30,20,170
30,21,390
30,22,151
30,23,585
30,24,131
30,25,386
30,26,542
30,27,682
30,28,171
30,29,612
30,30,560
30,31,592
30,32,330
30,33,840
30,34,391
30,35,669
30,36,259
30,37,525
30,38,78
30,39,740
30,40,10
30,41,498
30,42,677
30,43,879
30,44,302
30,45,514
30,46,206
30,47,707
30,48,390
30,49,688
30,50,476
30,51,604
30,52,839
30,53,909
30,54,612
30,55,579
30,56,678
30,57,580
30,58,830
30,59,156
30,60,886
30,61,267
30,62,745
30,63,422
30,64,832
30,65,769
30,66,661
30,67,475
30,68,224
30,69,844
30,70,773
30,71,576
30,72,601
30,73,711
30,74,598
30,75,800
30,76,106
30,77,70
30,78,118
30,79,477
30,80,831
30,81,395
30,82,45
30,83,584
30,84,392
30,85,809
30,86,42
30,87,221
30,88,749
30,89,614
30,90,295
30,91,171
30,92,724
30,93,599
30,94,761
30,95,751
30,96,251
30,97,760
30,98,305
30,99,268
30,100,404
40,1,175
40,2,319
40,3,366
40,4,47
40,5,435
40,6,465
40,7,4
40,8,801
40,9,26
40,10,878
40,11,35
40,12,882
40,13,189
40,14,374
40,15,412
40,16,761
40,17,821
40,18,853
40,19,664
40,20,500
40,21,914
40,22,292
40,23,662
40,24,217
40,25,141
40,26,686
40,27,886
40,28,621
40,29,687
40,30,550
40,31,168
40,32,729
40,33,689
40,34,201
40,35,544
40,36,330
40,37,5
40,38,903
40,39,862
40,40,423
40,41,345
40,42,879
40,43,673
40,44,256
40,45,696
40,46,171
40,47,34
40,48,675
40,49,440
40,50,715
40,51,312
40,52,376
40,53,737
40,54,558
40,55,796
40,56,835
40,57,391
40,58,769
40,59,693
40,60,893
40,61,152
40,62,322
40,63,460
40,64,473
40,65,618
40,66,122
40,67,102
40,68,916
40,69,652
40,70,717
40,71,750
40,72,378
40,73,71
40,74,289
40,75,737
40,76,709
40,77,22
40,78,481
40,79,554
40,80,831
40,81,229
40,82,70
40,83,920
40,84,479
40,85,102
40,86,429
40,87,415
40,88,504
40,89,129
40,90,53
40,91,617
40,92,261
40,93,464
40,94,376
40,95,470
40,96,326
40,97,654
40,98,345
40,99,367
40,100,437
50,1,510
50,2,95
50,3,892
50,4,468
50,5,658
50,6,883
50,7,55
50,8,810
50,9,702
50,10,464
50,11,530
50,12,324
50,13,721
50,14,86
50,15,900
50,16,415
50,17,469
50,18,137
50,19,841
50,20,600
50,21,559
50,22,480
50,23,176
50,24,525
50,25,666
50,26,730
50,27,253
50,28,150
50,29,811
50,30,366
50,31,703
50,32,558
50,33,315
50,34,819
50,35,275
50,36,293
50,37,730
50,38,292
50,39,629
50,40,21
50,41,565
50,42,770
50,43,405
50,44,709
50,45,537
50,46,606
50,47,400
50,48,804
50,49,68
50,50,223
50,51,910
50,52,555
50,53,340
50,54,310
50,55,571
50,56,751
50,57,311
50,58,451
50,59,12
50,60,180
50,61,380
50,62,7
50,63,373
50,64,544
50,65,256
50,66,191
50,67,333
50,68,86
50,69,373
50,70,439
50,71,793
50,72,676
50,73,864
50,74,690
50,75,796
50,76,256
50,77,771
50,78,456
50,79,593
50,80,908
50,81,861
50,82,118
50,83,64
50,84,670
50,85,471
50,86,140
50,87,674
50,88,905
50,89,824
50,90,832
50,91,127
50,92,165
50,93,310
50,94,136
50,95,443
50,96,111
50,97,391
50,98,364
50,99,729
50,100,525
60,1,183
60,2,359
60,3,848
60,4,28
60,5,203
60,6,186
60,7,81
60,8,4
60,9,715
60,10,660
60,11,163
60,12,598
60,13,358
60,14,670
60,15,715
60,16,604
60,17,852
60,18,36
60,19,758
60,20,341
60,21,111
60,22,135
60,23,815
60,24,236
60,25,387
60,26,381
60,27,504
60,28,684
60,29,386
60,30,61
60,31,468
60,32,769
60,33,209
60,34,898
60,35,336
60,36,336
60,37,708
60,38,165
60,39,314
60,40,69
60,41,6
60,42,440
60,43,216
60,44,655
60,45,360
60,46,235
60,47,425
60,48,553
60,49,201
60,50,192
60,51,490
60,52,817
60,53,335
60,54,706
60,55,272
60,56,98
60,57,408
60,58,119
60,59,443
60,60,714
60,61,104
60,62,442
60,63,227
60,64,402
60,65,353
60,66,687
60,67,797
60,68,237
60,69,528
60,70,86
60,71,94
60,72,799
60,73,59
60,74,739
60,75,897
60,76,251
60,77,802
60,78,144
60,79,348
60,80,177
60,81,848
60,82,61
60,83,545
60,84,169
60,85,373
60,86,71
60,87,496
60,88,123
60,89,839
60,90,766
60,91,595
60,92,271
60,93,718
60,94,66
60,95,700
60,96,529
60,97,455
60,98,744
60,99,182
60,100,127
70,1,891
70,2,838
70,3,520
70,4,283
70,5,791
70,6,626
70,7,574
70,8,489
70,9,577
70,10,463
70,11,233
70,12,702
70,13,333
70,14,632
70,15,279
70,16,521
70,17,590
70,18,748
70,19,167
70,20,814
70,21,459
70,22,528
70,23,767
70,24,304
70,25,298
70,26,297
70,27,603
70,28,163
70,29,413
70,30,458
70,31,597
70,32,12
70,33,367
70,34,781
70,35,612
70,36,667
70,37,155
70,38,498
70,39,889
70,40,732
70,41,676
70,42,762
70,43,42
70,44,763
70,45,120
70,46,151
70,47,638
70,48,542
70,49,329
70,50,309
70,51,393
70,52,756
70,53,492
70,54,691
70,55,72
70,56,17
70,57,484
70,58,395
70,59,20
70,60,105
70,61,693
70,62,857
70,63,860
70,64,602
70,65,327
70,66,719
70,67,879
70,68,728
70,69,684
70,70,162
70,71,385
70,72,460
70,73,524
70,74,47
70,75,389
70,76,658
70,77,449
70,78,65
70,79,741
70,80,569
70,81,543
70,82,140
70,83,253
70,84,40
70,85,95
70,86,533
70,87,121
70,88,588
70,89,649
70,90,298
70,91,262
70,92,630
70,93,250
70,94,760
70,95,566
70,96,467
70,97,694
70,98,358
70,99,149
70,100,222
80,1,304
80,2,821
80,3,201
80,4,556
80,5,797
80,6,362
80,7,558
80,8,713
80,9,119
80,10,136
80,11,207
80,12,789
80,13,309
80,14,778
80,15,247
80,16,655
80,17,607
80,18,874
80,19,469
80,20,577
80,21,324
80,22,9
80,23,396
80,24,184
80,25,452
80,26,858
80,27,745
80,28,529
80,29,694
80,30,96
80,31,437
80,32,254
80,33,417
80,34,555
80,35,674
80,36,747
80,37,377
80,38,819
80,39,108
80,40,534
80,41,653
80,42,92
80,43,862
80,44,503
80,45,326
80,46,370
80,47,683
80,48,314
80,49,277
80,50,615
80,51,858
80,52,712
80,53,367
80,54,185
80,55,540
80,56,641
80,57,577
80,58,28
80,59,827
80,60,186
80,61,435
80,62,199
80,63,614
80,64,97
80,65,639
80,66,743
80,67,876
80,68,631
80,69,109
80,70,71
80,71,366
80,72,101
80,73,29
80,74,81
80,75,369
80,76,734
80,77,460
80,78,154
80,79,634
80,80,505
80,81,437
80,82,819
80,83,653
80,84,161
80,85,465
80,86,516
80,87,599
80,88,599
80,89,805
80,90,780
80,91,639
80,92,808
80,93,58
80,94,553
80,95,462
80,96,234
80,97,228
80,98,323
80,99,408
80,100,77
90,1,661
90,2,117
90,3,858
90,4,661
90,5,290
90,6,696
90,7,2
90,8,771
90,9,521
90,10,156
90,11,152
90,12,345
90,13,746
90,14,771
90,15,726
90,16,508
90,17,626
90,18,47
90,19,680
90,20,343
90,21,714
90,22,522
90,23,696
90,24,455
90,25,836
90,26,26
90,27,75
90,28,689
90,29,174
90,30,540
90,31,658
90,32,605
90,33,39
90,34,571
90,35,778
90,36,368
90,37,729
90,38,27
90,39,179
90,40,445
90,41,496
90,42,331
90,43,539
90,44,837
90,45,160
90,46,521
90,47,534
90,48,214
90,49,816
90,50,508
90,51,510
90,52,847
90,53,238
90,54,433
90,55,413
90,56,126
90,57,418
90,58,783
90,59,432
90,60,640
90,61,771
90,62,253
90,63,719
90,64,561
90,65,692
90,66,487
90,67,570
90,68,253
90,69,384
90,70,589
90,71,283
90,72,63
90,73,505
90,74,550
90,75,197
90,76,837
90,77,503
90,78,765
90,79,23
90,80,491
90,81,831
90,82,753
90,83,172
90,84,759
90,85,37
90,86,505
90,87,165
90,88,598
90,89,204
90,90,393
90,91,621
90,92,269
90,93,513
90,94,16
90,95,233
90,96,86
90,97,508
90,98,866
90,99,358
90,100,85
100,1,440
100,2,715
100,3,578
100,4,533
100,5,803
100,6,179
100,7,545
100,8,43
100,9,516
100,10,113
100,11,854
100,12,499
100,13,761
100,14,112
100,15,9
100,16,658
100,17,276
100,18,529
100,19,547
100,20,769
100,21,234
100,22,52
100,23,199
100,24,526
100,25,120
100,26,722
100,27,414
100,28,677
100,29,13
100,30,614
100,31,332
100,32,430
100,33,811
100,34,82
100,35,239
100,36,524
100,37,376
100,38,293
100,39,375
100,40,565
100,41,140
100,42,320
100,43,542
100,44,127
100,45,322
100,46,801
100,47,84
100,48,514
100,49,179
100,50,214
100,51,102
100,52,471
100,53,817
100,54,513
100,55,632
100,56,60
100,57,41
100,58,570
100,59,523
100,60,538
100,61,519
100,62,493
100,63,57
100,64,790
100,65,826
100,66,501
100,67,853
100,68,603
100,69,52
100,70,465
100,71,355
100,72,439
100,73,641
100,74,668
100,75,353
100,76,738
100,77,550
100,78,345
100,79,364
100,80,216
100,81,292
100,82,715
100,83,803
100,84,256
100,85,722
100,86,283
100,87,334
100,88,522
100,89,282
100,90,578
100,91,579
100,92,237
100,93,819
100,94,60
100,95,835
100,96,693
100,97,792
100,98,125
100,99,562
100,100,446
110,1,575
110,2,440
110,3,845
110,4,481
110,5,34
110,6,715
110,7,54
110,8,47
110,9,549
110,10,832
110,11,261
110,12,68
110,13,422
110,14,250
110,15,413
110,16,165
110,17,733
110,18,697
110,19,164
110,20,847
110,21,479
110,22,627
110,23,402
110,24,240
110,25,705
110,26,740
110,27,789
110,28,584
110,29,10
110,30,228
110,31,45
110,32,844
110,33,597
110,34,330
110,35,653
110,36,715
110,37,16
110,38,620
110,39,217
110,40,222
110,41,811
110,42,745
110,43,337
110,44,190
110,45,814
110,46,111
110,47,462
110,48,131
110,49,380
110,50,244
110,51,784
110,52,623
110,53,451
110,54,500
110,55,333
110,56,253
110,57,187
110,58,211
110,59,93
110,60,109
110,61,27
110,62,259
110,63,338
110,64,258
110,65,638
110,66,88
110,67,233
110,68,497
110,69,603
110,70,434
110,71,257
110,72,571
110,73,295
110,74,400
110,75,52
110,76,741
110,77,332
110,78,433
110,79,567
110,80,458
110,81,647
110,82,534
110,83,6
110,84,274
110,85,163
110,86,502
110,87,669
110,88,558
110,89,330
110,90,262
110,91,666
110,92,836
110,93,486
110,94,176
110,95,51
110,96,794
110,97,189
110,98,69
110,99,358
110,100,840
120,1,322
120,2,450
120,3,161
120,4,740
120,5,831
120,6,86
120,7,333
120,8,338
120,9,430
120,10,61
120,11,385
120,12,532
120,13,464
120,14,647
120,15,393
120,16,68
120,17,36
120,18,680
120,19,361
120,20,366
120,21,634
120,22,327
120,23,791
120,24,25
120,25,266
120,26,21
120,27,125
120,28,619
120,29,829
120,30,431
120,31,200
120,32,794
120,33,459
120,34,389
120,35,376
120,36,124
120,37,168
120,38,811
120,39,492
120,40,399
120,41,801
120,42,438
120,43,204
120,44,651
120,45,9
120,46,11
120,47,189
120,48,360
120,49,704
120,50,326
120,51,627
120,52,524
120,53,204
120,54,537
120,55,230
120,56,253
120,57,125
120,58,73
120,59,530
120,60,560
120,61,291
120,62,550
120,63,278
120,64,360
120,65,35
120,66,9
120,67,502
120,68,442
120,69,788
120,70,777
120,71,321
120,72,727
120,73,289
120,74,265
120,75,234
120,76,181
120,77,412
120,78,532
120,79,760
120,80,833
120,81,360
120,82,397
120,83,195
120,84,326
120,85,740
120,86,620
120,87,719
120,88,107
120,89,551
120,90,171
120,91,746
120,92,264
120,93,820
120,94,570
120,95,440
120,96,145
120,97,217
120,98,682
120,99,276
120,100,281
130,1,535
130,2,493
130,3,452
130,4,590
130,5,422
130,6,308
130,7,416
130,8,27
130,9,133
130,10,260
130,11,114
130,12,278
130,13,420
130,14,665
130,15,653
130,16,189
130,17,414
130,18,336
130,19,325
130,20,782
130,21,190
130,22,268
130,23,17
130,24,333
130,25,21
130,26,567
130,27,549
130,28,87
130,29,276
130,30,125
130,31,407
130,32,361
130,33,129
130,34,410
130,35,610
130,36,735
130,37,584
130,38,721
130,39,497
130,40,173
130,41,805
130,42,273
130,43,593
130,44,118
130,45,504
130,46,657
130,47,369
130,48,791
130,49,436
130,50,51
130,51,726
130,52,332
130,53,247
130,54,246
130,55,464
130,56,284
130,57,26
130,58,716
130,59,39
130,60,416
