segment_length,run_index,rank,births
50,1,0,""
50,2,0,""
50,3,0,""
50,4,0,""
50,5,0,""
50,6,0,""
50,7,0,""
50,8,0,""
50,9,0,""
50,10,0,""
100,1,0,""
100,2,0,""
100,3,0,""
100,4,0,""
100,5,0,""
100,6,0,""
100,7,0,""
100,8,0,""
100,9,0,""
100,10,0,""
150,1,0,""
150,2,0,""
150,3,0,""
150,4,0,""
150,5,0,""
150,6,0,""
150,7,0,""
150,8,0,""
150,9,0,""
150,10,0,""
200,1,0,""
200,2,0,""
200,3,0,""
200,4,0,""
200,5,0,""
200,6,0,""
200,7,0,""
200,8,0,""
200,9,0,""
200,10,0,""
250,1,0,""
250,2,0,""
250,3,0,""
250,4,0,""
250,5,0,""
250,6,0,""
250,7,0,""
250,8,0,""
250,9,0,""
250,10,0,""
300,1,0,""
300,2,0,""
300,3,0,""
300,4,0,""
300,5,0,""
300,6,0,""
300,7,0,""
300,8,0,""
300,9,0,""
300,10,0,""
350,1,0,""
350,2,0,""
350,3,0,""
350,4,0,""
350,5,0,""
350,6,0,""
350,7,0,""
350,8,0,""
350,9,0,""
350,10,0,""
400,1,0,""
400,2,0,""
400,3,0,""
400,4,0,""
400,5,0,""
400,6,0,""
400,7,0,""
400,8,0,""
400,9,0,""
400,10,0,""
450,1,0,""
450,2,0,""
450,3,0,""
450,4,0,""
450,5,0,""
450,6,0,""
450,7,0,""
450,8,0,""
450,9,0,""
450,10,0,""
500,1,0,""
500,2,0,""
500,3,0,""
500,4,0,""
500,5,0,""
500,6,0,""
500,7,0,""
500,8,0,""
500,9,0,""
500,10,0,""
