segment_length,run_index,start_index
50,1,763
50,2,145
50,3,700
50,4,217
50,5,295
50,6,906
50,7,156
50,8,95
50,9,291
50,10,205
100,1,495
100,2,718
100,3,573
100,4,755
100,5,494
100,6,62
100,7,132
100,8,60
100,9,133
100,10,505
150,1,445
150,2,450
150,3,312
150,4,37
150,5,232
150,6,98
150,7,591
150,8,242
150,9,195
150,10,485
200,1,676
200,2,740
200,3,708
200,4,83
200,5,800
200,6,107
200,7,500
200,8,206
200,9,177
200,10,4
250,1,752
250,2,638
250,3,507
250,4,293
250,5,336
250,6,432
250,7,548
250,8,744
250,9,370
250,10,626
300,1,537
300,2,207
300,3,639
300,4,341
300,5,497
300,6,310
300,7,616
300,8,571
300,9,57
300,10,580
350,1,453
350,2,176
350,3,248
350,4,642
350,5,83
350,6,387
350,7,245
350,8,136
350,9,375
350,10,639
400,1,461
400,2,553
400,3,376
400,4,62
400,5,138
400,6,138
400,7,280
400,8,237
400,9,294
400,10,81
450,1,430
450,2,321
450,3,316
450,4,501
450,5,417
450,6,462
450,7,310
450,8,527
450,9,395
450,10,68
500,1,455
500,2,417
500,3,287
500,4,83
500,5,233
500,6,16
500,7,7
500,8,372
500,9,259
500,10,42
