t,step,event,theta_ns,theta_s,dtheta_ns,dtheta_s,hip_x,hip_y,swing_x,swing_y,support_x,support_y
0.0,0,post_impact,-0.392348120036,0.217815194837,-0.108006761939,-1.161444888863,-0.21609695814571397,0.9763719089978826,-0.598456120652232,0.052358126174642416,0.0,0.0
0.01,0,flow,-0.39281675689714635,0.20639022166703097,0.014280440963047654,-1.1237284194714123,-0.20492807454161055,0.9787770350108691,-0.5877202219641606,0.05494254124500375,0.0,0.0
0.02,0,flow,-0.39206286340398133,0.19533712045509544,0.13646181876505883,-1.0870638726870772,-0.19409725518218346,0.9809822911402337,-0.5761928210761094,0.05685947542567704,0.0,0.0
0.03,0,flow,-0.3900886317787103,0.18464556407557703,0.25830959562454675,-1.051413518353278,-0.18359813406256922,0.9830013861479254,-0.5638685240274411,0.05812602669889988,0.0,0.0
0.04,0,flow,-0.38689856421274454,0.17430558069170876,0.3795892764236495,-1.0167441603299219,-0.17342428254749886,0.984847205521184,-0.5507423277147144,0.058763465899765555,0.0,0.0
0.05,0,flow,-0.3824995484028897,0.16430750447547995,0.5000579759780002,-0.9830279237395654,-0.16356920136508987,0.9865318628228825,-0.5368097518605266,0.05879726097499238,0.0,0.0
0.06,0,flow,-0.3769009498107882,0.15464191849421935,0.6194627502212369,-0.9502430325950728,-0.15402630074454515,0.9880667480888884,-0.5220670152702116,0.05825707269750113,0.0,0.0
0.07,0,flow,-0.37011472045983934,0.14529958991877862,0.7375389641150403,-0.9183745655472489,-0.1447888692156678,0.989462572991646,-0.5065112558226326,0.057176718209239974,0.0,0.0
0.08,0,flow,-0.36215552368710185,0.1362713978469119,0.8540087411194244,-0.8874151742138844,-0.13585003170752805,0.9907294125466669,-0.49014079281008294,0.05559409795450998,0.0,0.0
0.09,0,flow,-0.3530408737640595,0.12754825420880686,0.9685795502738554,-0.8573657449031074,-0.12720269773666673,0.9918767431936865,-0.47295542925505074,0.053551080831425235,0.0,0.0
0.1,0,flow,-0.3427912886801799,0.11912101843292064,1.0809429989122215,-0.8282359806524424,-0.11883950066540026,0.99291347713766,-0.4549567906682647,0.05109334178211855,0.0,0.0
0.11,0,flow,-0.3314304536421271,0.11098040680078944,1.1907739111651146,-0.8000448765737211,-0.11075272923987653,0.9938479928872014,-0.4361486953611614,0.048270145625541216,0.0,0.0
0.12,0,flow,-0.31898539198183895,0.10311689770832641,1.2977297838181026,-0.7728210578169452,-0.10293425288477967,0.9946881619799505,-0.41653754988780567,0.04513407078301823,0.0,0.0
0.13,0,flow,-0.3054866392012363,0.09552063437386471,1.4014507206158,-0.7466029464377039,-0.09537544253278152,0.9954413719359247,-0.3961327614854506,0.04174066673727472,0.0,0.0
0.14,0,flow,-0.29096841483622415,0.08818132688096496,1.5015599522396148,-0.7214387215680707,-0.08806708909331867,0.9961145455310998,-0.3749471575519841,0.03814803968595726,0.0,0.0
0.15,0,flow,-0.27546878574031647,0.0810881558024988,1.5976650501821015,-0.6973860371321479,-0.0809993220029563,0.9967141565338888,-0.35299740031372717,0.03441636198417264,0.0,0.0
0.16,0,flow,-0.25902981332966424,0.07422968000133583,1.6893599366628476,-0.674511463549029,-0.07416153062829872,0.9972462420961374,-0.33030438300231596,0.030607302689234395,0.0,0.0
0.17,0,flow,-0.24169767637693182,0.06759375151532308,1.776227777658018,-0.6528896250548102,-0.06754229158558415,0.9977164120366909,-0.30689359221264356,0.026783378873159625,0.0,0.0
0.18,0,flow,-0.22352276018990555,0.06116744067749825,1.8578448203988802,-0.6326020129831125,-0.06112930526635597,0.9981298552982235,-0.2827954198247465,0.023007230365037712,0.0,0.0
0.19,0,flow,-0.20455970257421055,0.05493697475959021,1.9337851993002113,-0.6137354678941283,-0.054909344979168224,0.9984913438953583,-0.2580454071347496,0.019340824183540106,0.0,0.0
0.2,0,flow,-0.18486738697596625,0.04888769341912921,2.0036266851829616,-0.5963803398230335,-0.048868222094711464,0.9988052347025931,-0.2326844038570447,0.015844599009425142,0.0,0.0
0.21,0,flow,-0.16450887374109363,0.04300402404155077,2.066957293228684,-0.5806283556562422,-0.042990770379899255,0.999075469452705,-0.2067586256240364,0.012576564441282634,0.0,0.0
0.22,0,flow,-0.1435512616027732,0.0372694796696203,2.123382598411602,-0.5665702447095261,-0.03726085229660024,0.9993055733288647,-0.18031959567503575,0.009591374207227887,0.0,0.0
0.23,0,flow,-0.12206547336703294,0.03166668158764666,2.1725335380633553,-0.5542931963603568,-0.031661389407245104,0.9994986525357614,-0.15342395967719374,0.006939396631482464,0.0,0.0
0.24,0,flow,-0.10012596230138336,0.026177407780472194,2.2140744162158246,-0.5438782449409856,-0.02617441817565686,0.999657391226197,-0.12613316704469452,0.004665809088671202,0.0,0.0
0.25,0,flow,-0.07781033886481592,0.020782667443577398,2.247710770990691,-0.5353976945509518,-0.020781171403474654,0.9997840481399468,-0.09851301758098455,0.002809745517338591,0.0,0.0
0.26,0,flow,-0.055198920994097525,0.01546280053256371,2.2731967322785045,-0.5289127074763266,-0.01546218435196696,0.999880453281824,-0.07063307849204051,0.001403526938613564,0.0,0.0
0.27,0,flow,-0.03237421495270007,0.010197600083374387,2.2903414889836737,-0.5244711823263078,-0.010197423341107662,0.9999480049268573,-0.042565983409444806,0.0004720040548491511,0.0,0.0
0.28,0,flow,-0.009420337469371558,0.004966453803028358,2.2990145076455346,-0.5221060403820916,-0.00496643338624059,0.999987667193661,-0.014386631525108932,3.203824454378612e-05,0.0,0.0
0.29,0,flow,0.01357760676815501,-0.0002514996735844084,2.299149198358746,-0.5218340206658961,0.00025149967093309524,0.9999999683739572,0.01382868926778481,9.214266068124921e-05,0.0,0.0
0.3,0,flow,0.03653417555008013,-0.005477205339181801,2.2907448067602294,-0.5236550568276174,0.005477177953398541,0.9999850001483356,0.04200322673851227,0.0006522989120818501,0.0,0.0
0.31,0,flow,0.05936424910766523,-0.010731523222042526,2.273866415430333,-0.5275522744159681,0.010731317239526868,0.999942417757295,0.07006070475962617,0.0017039573799711993,0.0,0.0
0.32,0,flow,0.08198368057449296,-0.0160350628888135,2.2486430546267666,-0.533492608637472,0.016034375733088878,0.999871441133734,0.09792624735522235,0.0032302211542351023,0.0,0.0
0.33,0,flow,0.1043099185478328,-0.021408027080691085,2.215264038674703,-0.5414280042951766,0.02140639188876512,0.9997708569398813,0.12552725494500963,0.005206205508702211,0.0,0.0
0.34,0,flow,0.126262585023694,-0.02687006996911254,2.173973749008571,-0.5512971250225474,0.026866836717792587,0.9996390213896111,0.15279420431208476,0.007599557411099855,0.0,0.0
0.35000000000000003,0,flow,0.14776399463342127,-0.032440174641736735,2.125065167749916,-0.563027471480746,0.03243448512409384,0.9994738636776527,0.17966134842916698,0.010371113342102722,0.0,0.0
0.36,0,flow,0.16873960444648245,-0.03813655332673215,2.0688725198253883,-0.5765377901699829,0.038127309719402334,0.9992728897821459,0.20606729807620627,0.013475669096919662,0.0,0.0
0.37,0,flow,0.1891183873218463,-0.04397657263364844,2.005763404221294,-0.591740646839551,0.04396239933651735,0.9990331863579791,0.23195547364706162,0.016862832492993918,0.0,0.0
0.38,0,flow,0.20883312558103795,-0.04997670483280981,1.936130787050107,-0.6085450408579273,0.04995590320282232,0.998751424397077,0.25727442213350327,0.02047792904499046,0.0,0.0
0.39,0,flow,0.22782062535199873,-0.056152505007353255,1.8603851951254904,-0.6268589478879482,0.056123000546275066,0.9984238622998164,0.2819780004951387,0.02426293155064141,0.0,0.0
0.4,0,flow,0.2460218550661442,-0.0625186128682164,1.7789473954091493,-0.6465916956243681,0.06247789435835033,0.9980463479801661,0.30602543207761346,0.028157386876430213,0.0,0.0
0.41000000000000003,0,flow,0.26338201412623685,-0.06908877717436863,1.6922417807205663,-0.667656098672687,0.06903382718444728,0.9976143196166882,0.32938124715875794,0.032099316671254985,0.0,0.0
0.42,0,flow,0.2798505396217829,-0.0758759000749044,1.6006906130392167,-0.6899703014023125,0.07580311617846781,0.9971228046623113,0.3520151219471466,0.036026072866159886,0.0,0.0
0.43,0,flow,0.29538106014431376,-0.0828920982895476,1.504709209057612,-0.7134592996572827,0.0827972042478798,0.9965664167373567,0.3739016324164251,0.03987513325001135,0.0,0.0
0.44,0,flow,0.30993130629681603,-0.09014877785405122,1.4047020932279286,-0.7380561319382724,0.09002672391309428,0.9959393500517366,0.39501994031724824,0.04358482680556186,0.0,0.0
0.45,0,flow,0.3234629874891239,-0.09765671914808835,1.3010600944511839,-0.7637027470505379,0.09750157048174425,0.9952353710321963,0.4153534287211448,0.04709498258027511,0.0,0.0
0.46,0,flow,0.3359416441756564,-0.1054261690592123,1.1941583251589378,-0.7903505677688917,0.10523098125837119,0.9944478068674094,0.43488930370957335,0.050347499464292844,0.0,0.0
0.47000000000000003,0,flow,0.3473364839413289,-0.1134669373786706,1.0843549558102699,-0.8179607787887868,0.11322361773470838,0.9935695307259903,0.4536181775304937,0.053286837244166496,0.0,0.0
0.48,0,flow,0.3576202088880117,-0.12178849483628906,0.9719906827394116,-0.846504372434314,0.12148764799845117,0.9925929434485238,0.4715336468976207,0.05586043165303656,0.0,0.0
0.49,0,flow,0.3667688407160767,-0.13040007052966368,0.8573887811942231,-0.8759619878097328,0.1300308269267366,0.9915099515631445,0.4886318782737431,0.058019037856523736,0.0,0.0
0.5,0,flow,0.37476154881377866,-0.13931074686074033,0.7408556363823123,-0.9063235789368231,0.13886057206797697,0.9903119415239595,0.5049112100969553,0.05971700794728352,0.0,0.0
0.51,0,flow,0.3815804856224722,-0.14852955044011787,0.62268165146098,-0.9375879455494422,0.14798403344200717,0.9889897501219287,0.520371780081085,0.06091250864195896,0.0,0.0
0.52,0,flow,0.3872106325803835,-0.15806553774177465,0.5031424409101102,-0.969762157200709,0.1574081557896003,0.9875336310682877,0.5350151840201726,0.06156768556549774,0.0,0.0
0.53,0,flow,0.3916396590879987,-0.16792787457950678,0.3825002291248861,-1.0028608976721645,0.16713973206959062,0.9859332178011376,0.5488441709940632,0.06164878035487531,0.0,0.0
0.54,0,flow,0.39485779619688005,-0.17812590872672376,0.2610053861789407,-1.0369057527522987,0.17718544723085192,0.984177482616628,0.5618623785270397,0.061126206398157024,0.0,0.0
0.55,0,flow,0.39685772610342707,-0.1886692352123746,0.13889804466470584,-1.0719244605680291,0.18755191147644065,0.9822546922776869,0.5740741100949284,0.059974588418165053,0.0,0.0
0.56,0,flow,0.39763448802497986,-0.19956775399913607,0.016409752716765258,-1.1079501400105487,0.19824568239004917,0.9801523603061433,0.5854841563963467,0.05817277037517632,0.0,0.0
0.5700000000000001,0,flow,0.3971854006381267,-0.2108317198886833,-0.10623487160482462,-1.145020509524028,0.2092732754139432,0.9778571962191207,0.5960976609803575,0.0557037953517997,0.0,0.0
0.58,0,flow,0.395510000955723,-0.2224717846071008,-0.2288165106358554,-1.1831771056863027,0.22064116225740166,0.9753550520285948,0.6059200301307033,0.0525548602371827,0.0,0.0
0.59,0,flow,0.39260999929662044,-0.2344990311051575,-0.35111956082481466,-1.222464508636733,0.23235575687971755,0.9726308663850092,0.61495688631848,0.048717247180170675,0.0,0.0
0.6,0,flow,0.3884892498464589,-0.24692500016925495,-0.4729306024675291,-1.2629295794651223,0.2444233887386294,0.9696686068124124,0.6232140640246486,0.04418623295737156,0.0,0.0
0.61,0,flow,0.38315373620674986,-0.2597617094815547,-0.5940369332674456,-1.3046207131670902,0.2568502630266028,0.966451210554969,0.630697646274174,0.0389609766231267,0.0,0.0
0.62,0,flow,0.3766115712710363,-0.2730216652981237,-0.7142251697805845,-1.3475871096227616,0.2696424076405258,0.9629605246331858,0.637414039793982,0.03304438508984886,0.0,0.0
0.63,0,flow,0.3688730107410537,-0.2867178669340597,-0.833279917982128,-1.3918780642319308,0.2828056066483304,0.9591772457936384,0.643370086286672,0.02644295564283028,0.0,0.0
0.64,0,flow,0.3599504795943974,-0.3008638042579049,-0.9509825121203608,-1.437542279281545,0.29634532003340747,0.9550808611286781,0.6485732068862697,0.019166593835371337,0.0,0.0
0.65,0,flow,0.3498586108314063,-0.31547344840654,-1.0671098195315447,-1.4846271967767684,0.3102665895181204,0.950649590242795,0.6530315764197279,0.011228404749120457,0.0,0.0
