segment_length,run_index,start_index
10,1,8005
10,2,1512
10,3,7337
10,4,2269
10,5,3094
10,6,9505
10,7,1631
10,8,987
10,9,3050
10,10,2146
10,11,5480
10,12,7952
10,13,6338
10,14,8362
10,15,5472
10,16,682
10,17,1461
10,18,659
10,19,1467
10,20,5591
10,21,5211
10,22,5271
10,23,3651
10,24,434
10,25,2715
10,26,1146
10,27,6920
10,28,2831
10,29,2277
10,30,5687
10,31,8412
10,32,9217
10,33,8815
10,34,1032
10,35,9956
10,36,1325
10,37,6225
10,38,2560
10,39,2198
10,40,44
10,41,9986
10,42,8473
10,43,6734
10,44,3889
10,45,4461
10,46,5728
10,47,7279
10,48,9882
10,49,4916
10,50,8308
10,51,7637
10,52,2933
10,53,9093
10,54,4846
10,55,7071
10,56,4410
10,57,8764
10,58,8115
10,59,810
10,60,8245
10,61,6935
10,62,2685
10,63,3801
10,64,9835
10,65,1271
10,66,5928
10,67,3747
10,68,2076
10,69,5739
10,70,9793
10,71,7638
10,72,9164
10,73,6240
10,74,1026
10,75,2284
10,76,2291
10,77,4634
10,78,3927
10,79,4879
10,80,1331
10,81,7783
10,82,5809
10,83,5706
10,84,9063
10,85,7545
10,86,8363
10,87,5601
10,88,9526
10,89,7142
10,90,1220
10,91,9051
10,92,8287
10,93,5698
10,94,1651
10,95,4636
10,96,316
10,97,138
10,98,7394
10,99,5154
10,100,830
10,101,9823
10,102,5661
10,103,1586
10,104,1091
10,105,9336
10,106,4028
10,107,8848
10,108,2267
10,109,5259
10,110,8625
10,111,2964
10,112,9845
10,113,3715
10,114,9913
10,115,7437
10,116,7225
10,117,960
10,118,475
10,119,2322
10,120,1824
10,121,4179
10,122,1619
10,123,6273
10,124,1401
10,125,4139
10,126,5811
10,127,7318
10,128,1829
10,129,6558
10,130,6005
10,131,6347
10,132,3539
10,133,9012
10,134,4192
10,135,7180
10,136,2777
10,137,5632
10,138,835
10,139,7937
10,140,100
10,141,5345
10,142,7259
10,143,9425
10,144,3241
10,145,5513
10,146,2207
10,147,7578
10,148,4178
10,149,7383
10,150,5104
20,1,6476
20,2,8988
20,3,9737
20,4,6552
20,5,6198
20,6,7269
20,7,6213
20,8,8889
20,9,1665
20,10,9491
20,11,2860
20,12,7982
20,13,4520
20,14,8914
20,15,8242
20,16,7087
20,17,5090
20,18,2400
20,19,9046
20,20,8282
20,21,6170
20,22,6437
20,23,7615
20,24,6409
20,25,8572
20,26,1136
20,27,746
20,28,1264
20,29,5114
20,30,8909
20,31,4228
20,32,477
20,33,6253
20,34,4197
20,35,8670
20,36,446
20,37,2368
20,38,8024
20,39,6580
20,40,3155
20,41,1827
20,42,7759
20,43,6412
20,44,8155
20,45,8050
20,46,2691
20,47,8146
20,48,3267
20,49,2871
20,50,4327
20,51,1887
20,52,3456
20,53,3960
20,54,503
20,55,4715
20,56,5029
20,57,34
20,58,8675
20,59,276
20,60,9515
20,61,378
20,62,9552
20,63,2046
20,64,4049
20,65,4456
20,66,8241
20,67,8892
20,68,9244
20,69,7194
20,70,5411
20,71,9900
20,72,3163
20,73,7165
20,74,2352
20,75,1522
20,76,7433
20,77,9600
20,78,6728
20,79,7443
20,80,5960
20,81,1815
20,82,7897
20,83,7468
20,84,2175
20,85,5889
20,86,3571
20,87,45
20,88,9781
20,89,9342
20,90,4575
20,91,3734
20,92,9520
20,93,7289
20,94,2773
20,95,7539
20,96,1849
20,97,362
20,98,7307
20,99,4768
20,100,7745
20,101,3379
20,102,4069
20,103,7979
20,104,6047
20,105,8621
20,106,9043
20,107,4231
20,108,8329
20,109,7509
20,110,9675
20,111,1644
20,112,3488
20,113,4984
20,114,5118
20,115,6698
20,116,1317
20,117,1101
20,118,9919
20,119,7063
20,120,7761
20,121,8123
20,122,4094
20,123,763
20,124,3124
20,125,7985
20,126,7675
20,127,235
20,128,5204
20,129,5996
20,130,9002
20,131,2475
20,132,751
20,133,9965
20,134,5190
20,135,1103
20,136,4641
20,137,4498
20,138,5456
20,139,1390
20,140,569
20,141,6686
20,142,2819
20,143,5026
20,144,4070
20,145,5094
20,146,3528
20,147,7080
20,148,3739
20,149,3978
20,150,4733
30,1,5582
30,2,1038
30,3,9755
30,4,5117
30,5,7193
30,6,9660
30,7,593
30,8,8864
30,9,7683
30,10,5069
30,11,5794
30,12,3545
30,13,7889
30,14,932
30,15,9850
30,16,4542
30,17,5126
30,18,1495
30,19,9201
30,20,6561
30,21,6111
30,22,5255
30,23,1922
30,24,5742
30,25,7286
30,26,7989
30,27,2769
30,28,1640
30,29,8869
30,30,4001
30,31,7687
30,32,6105
30,33,3439
30,34,8959
30,35,3001
30,36,3207
30,37,7988
30,38,3195
30,39,6879
30,40,229
30,41,6182
30,42,8427
30,43,4426
30,44,7751
30,45,5875
30,46,6626
30,47,4377
30,48,8798
30,49,738
30,50,2434
30,51,9960
30,52,6068
30,53,3721
30,54,3393
30,55,6245
30,56,8211
30,57,3402
30,58,4934
30,59,122
30,60,1962
30,61,4153
30,62,72
30,63,4075
30,64,5950
30,65,2796
30,66,2088
30,67,3636
30,68,932
30,69,4076
30,70,4804
30,71,8670
30,72,7397
30,73,9455
30,74,7545
30,75,8707
30,76,2794
30,77,8439
30,78,4989
30,79,6485
30,80,9931
30,81,9417
30,82,1290
30,83,700
30,84,7325
30,85,5156
30,86,1522
30,87,7372
30,88,9898
30,89,9014
30,90,9104
30,91,1387
30,92,1802
30,93,3390
30,94,1479
30,95,4847
30,96,1214
30,97,4276
30,98,3982
30,99,7980
30,100,5740
30,101,2023
30,102,3969
30,103,9385
30,104,302
30,105,2238
30,106,2058
30,107,890
30,108,36
30,109,7908
30,110,7302
30,111,1797
30,112,6611
30,113,3959
30,114,7413
30,115,7912
30,116,6685
30,117,9420
