segment_length,run_index,rank,births
25,1,0,""
25,2,0,""
25,3,0,""
25,4,0,""
25,5,0,""
25,6,0,""
25,7,0,""
25,8,0,""
25,9,0,""
25,10,0,""
25,11,0,""
25,12,0,""
25,13,0,""
25,14,0,""
25,15,0,""
25,16,0,""
25,17,0,""
25,18,0,""
25,19,0,""
25,20,0,""
50,1,0,""
50,2,0,""
50,3,0,""
50,4,0,""
50,5,0,""
50,6,0,""
50,7,0,""
50,8,0,""
50,9,0,""
50,10,0,""
50,11,0,""
50,12,0,""
50,13,0,""
50,14,0,""
50,15,0,""
50,16,0,""
50,17,0,""
50,18,0,""
50,19,0,""
50,20,0,""
100,1,0,""
100,2,0,""
100,3,0,""
100,4,0,""
100,5,0,""
100,6,0,""
100,7,0,""
100,8,0,""
100,9,0,""
100,10,0,""
100,11,0,""
100,12,0,""
100,13,0,""
100,14,0,""
100,15,0,""
100,16,0,""
100,17,0,""
100,18,0,""
100,19,0,""
100,20,0,""
200,1,0,""
200,2,0,""
200,3,0,""
200,4,0,""
200,5,0,""
200,6,0,""
200,7,0,""
200,8,0,""
200,9,0,""
200,10,0,""
200,11,0,""
200,12,0,""
200,13,0,""
200,14,0,""
200,15,0,""
200,16,0,""
200,17,0,""
200,18,0,""
200,19,0,""
200,20,0,""
300,1,0,""
300,2,0,""
300,3,0,""
300,4,0,""
300,5,0,""
300,6,0,""
300,7,0,""
300,8,0,""
300,9,0,""
300,10,0,""
300,11,0,""
300,12,0,""
300,13,0,""
300,14,0,""
300,15,0,""
300,16,0,""
300,17,0,""
300,18,0,""
300,19,0,""
300,20,0,""
