segment_length,run_index,start_index
25,1,7993
25,2,1510
25,3,7326
25,4,2266
25,5,3090
25,6,9491
25,7,1628
25,8,986
25,9,3046
25,10,2142
25,11,5472
25,12,7940
25,13,6329
25,14,8350
25,15,5464
25,16,681
25,17,1459
25,18,658
25,19,1465
25,20,5582
50,1,5190
50,2,5250
50,3,3637
50,4,432
50,5,2704
50,6,1141
50,7,6892
50,8,2819
50,9,2268
50,10,5664
50,11,8378
50,12,9180
50,13,8780
50,14,1028
50,15,9916
50,16,1320
50,17,6200
50,18,2550
50,19,2189
50,20,44
100,1,9896
100,2,8396
100,3,6673
100,4,3854
100,5,4421
100,6,5677
100,7,7214
100,8,9793
100,9,4871
100,10,8233
100,11,7568
100,12,2907
100,13,9011
100,14,4803
100,15,7007
100,16,4370
100,17,8685
100,18,8042
100,19,803
100,20,8171
200,1,6803
200,2,2634
200,3,3728
200,4,9648
200,5,1247
200,6,5815
200,7,3676
200,8,2037
200,9,5630
200,10,9606
200,11,7492
200,12,8990
200,13,6122
200,14,1007
200,15,2240
200,16,2247
200,17,4546
200,18,3852
200,19,4787
200,20,1306
300,1,7557
300,2,5641
300,3,5540
300,4,8800
300,5,7326
300,6,8120
300,7,5439
300,8,9249
300,9,6935
300,10,1185
300,11,8788
300,12,8047
300,13,5533
300,14,1603
300,15,4502
300,16,307
300,17,134
300,18,7180
300,19,5004
300,20,806
