segment_length,run_index,rank,births
50,1,0,""
50,2,1,"0.06757993545414469"
50,3,1,"0.0660789123223158"
50,4,1,"0.06441949957862252"
50,5,0,""
50,6,0,""
50,7,1,"0.0689406966950687"
50,8,0,""
50,9,1,"0.06258262256058181"
50,10,1,"0.06391312999250716"
100,1,2,"0.015252751261458334;0.05898312022133545"
100,2,2,"0.014758229446790658;0.058970347256855064"
100,3,1,"0.015454891034468213"
100,4,1,"0.014246924330719576"
100,5,2,"0.01855944863370754;0.05898312022133545"
100,6,1,"0.015124535074110984"
100,7,1,"0.06078653701980195"
100,8,1,"0.015204640776394319"
100,9,1,"0.06078653701980195"
100,10,1,"0.014730766341890019"
