regime,stride,boxsize,beta1,n_samples,build_seconds
period1,1,0.3,1,24273,4.47
period1,1,0.45,1,24273,0.02
period1,1,0.6,1,24273,0.02
period1,1,0.8,1,24273,0.01
period1,1,1.0,1,24273,0.01
period1,2,0.3,1,12137,0.02
period1,2,0.45,1,12137,0.1
period1,2,0.6,1,12137,0.01
period1,2,0.8,1,12137,0.01
period1,2,1.0,1,12137,0.01
period2,1,0.3,1,24257,0.17
period2,1,0.45,1,24257,0.06
period2,1,0.6,1,24257,0.16
period2,1,0.8,1,24257,0.03
period2,1,1.0,1,24257,0.04
period2,2,0.3,1,12129,0.08
period2,2,0.45,1,12129,0.15
period2,2,0.6,1,12129,0.06
period2,2,0.8,1,12129,0.03
period2,2,1.0,1,12129,0.05
period4,1,0.3,1,24265,0.29
period4,1,0.45,1,24265,0.23
period4,1,0.6,1,24265,0.1
period4,1,0.8,1,24265,0.17
period4,1,1.0,1,24265,0.07
period4,2,0.3,1,12133,0.25
period4,2,0.45,1,12133,0.11
period4,2,0.6,1,12133,0.21
period4,2,0.8,1,12133,0.05
period4,2,1.0,1,12133,0.06
period8,1,0.3,1,24257,0.43
period8,1,0.45,1,24257,0.14
period8,1,0.6,1,24257,0.26
period8,1,0.8,1,24257,0.08
period8,1,1.0,1,24257,0.21
period8,2,0.3,1,12129,0.27
period8,2,0.45,1,12129,0.13
period8,2,0.6,1,12129,0.23
period8,2,0.8,1,12129,0.08
period8,2,1.0,1,12129,0.21
chaos,1,0.3,1,24249,2.36
chaos,1,0.45,1,24249,1.16
chaos,1,0.6,1,24249,1.33
chaos,1,0.8,1,24249,0.46
chaos,1,1.0,1,24249,0.8
chaos,2,0.3,1,12125,1.55
chaos,2,0.45,1,12125,0.67
chaos,2,0.6,1,12125,1.04
chaos,2,0.8,1,12125,0.38
chaos,2,1.0,1,12125,0.64
