segment_length,rank0,rank1,rank2,rank3
20,150,0,0,0
40,150,0,0,0
60,112,38,0,0
80,86,64,0,0
100,77,73,0,0
120,56,94,0,0
140,56,94,0,0
160,38,112,0,0
180,44,106,0,0
200,33,117,0,0
220,22,128,0,0
240,21,129,0,0
260,24,126,0,0
280,14,136,0,0
300,12,138,0,0
320,14,136,0,0
340,13,137,0,0
360,8,142,0,0
380,9,141,0,0
400,7,143,0,0
420,6,144,0,0
440,8,142,0,0
460,4,146,0,0
480,5,145,0,0
500,3,147,0,0
520,1,149,0,0
540,2,148,0,0
560,1,149,0,0
580,0,150,0,0
600,0,150,0,0
620,0,150,0,0
640,0,150,0,0
660,0,150,0,0
680,0,150,0,0
700,0,150,0,0
720,0,150,0,0
740,0,150,0,0
760,0,150,0,0
780,0,150,0,0
800,0,150,0,0
