segment_length,run_index,start_index
20,1,19411
20,2,3666
20,3,17792
20,4,5501
20,5,7503
20,6,23048
20,7,3954
20,8,2394
20,9,7396
20,10,5202
20,11,13287
20,12,19282
20,13,15370
20,14,20277
20,15,13268
20,16,1654
20,17,3542
20,18,1598
20,19,3557
20,20,13556
20,21,12635
20,22,12781
20,23,8853
20,24,1051
20,25,6583
20,26,2778
20,27,16780
20,28,6863
20,29,5520
20,30,13789
20,31,20397
20,32,22349
20,33,21376
20,34,2502
20,35,24142
20,36,3213
20,37,15096
20,38,6208
20,39,5329
20,40,105
20,41,24214
20,42,20545
20,43,16328
20,44,9430
20,45,10817
20,46,13890
20,47,17652
20,48,23963
20,49,11919
20,50,20146
20,51,18517
20,52,7112
20,53,22050
20,54,11752
20,55,17146
20,56,10693
20,57,21252
20,58,19677
20,59,1963
20,60,19993
20,61,16816
20,62,6509
20,63,9216
20,64,23849
20,65,3082
20,66,14374
20,67,9086
20,68,5034
20,69,13916
20,70,23746
20,71,18520
20,72,22222
20,73,15131
20,74,2488
20,75,5537
20,76,5554
20,77,11236
20,78,9522
20,79,11832
20,80,3227
20,81,18873
20,82,14086
20,83,13836
20,84,21976
20,85,18295
20,86,20278
20,87,13582
20,88,23098
20,89,17319
20,90,2958
20,91,21947
20,92,20095
20,93,13817
20,94,4004
20,95,11241
20,96,765
20,97,333
20,98,17930
20,99,12497
20,100,2012
20,101,23820
20,102,13726
20,103,3845
20,104,2644
20,105,22637
20,106,9767
20,107,21456
20,108,5497
20,109,12752
20,110,20916
20,111,7186
20,112,23873
20,113,9008
20,114,24039
20,115,18034
20,116,17519
20,117,2328
20,118,1151
20,119,5630
20,120,4423
20,121,10133
20,122,3926
20,123,15210
20,124,3397
20,125,10036
20,126,14091
20,127,17746
20,128,4436
20,129,15903
20,130,14561
20,131,15389
20,132,8581
20,133,21852
20,134,10164
20,135,17411
20,136,6733
20,137,13657
20,138,2024
20,139,19246
20,140,242
20,141,12960
20,142,17601
20,143,22854
20,144,7858
20,145,13367
20,146,5351
20,147,18377
20,148,10130
20,149,17903
20,150,12377
40,1,15707
40,2,21798
40,3,23615
40,4,15891
40,5,15031
40,6,17628
40,7,15069
40,8,21559
40,9,4036
40,10,23020
40,11,6937
40,12,19358
40,13,10962
40,14,21620
40,15,19990
40,16,17187
40,17,12344
40,18,5821
40,19,21939
40,20,20087
40,21,14963
40,22,15611
40,23,18468
40,24,15543
40,25,20790
40,26,2756
40,27,1809
40,28,3065
40,29,12402
40,30,21608
40,31,10253
40,32,1157
40,33,15165
40,34,10179
40,35,21027
40,36,1081
40,37,5743
40,38,19462
40,39,15958
40,40,7652
40,41,4431
40,42,18818
40,43,15552
40,44,19778
40,45,19524
40,46,6526
40,47,19757
40,48,7922
40,49,6963
40,50,10495
40,51,4577
40,52,8381
40,53,9605
40,54,1219
40,55,11435
40,56,12198
40,57,82
40,58,21040
40,59,668
40,60,23075
40,61,915
40,62,23167
40,63,4962
40,64,9820
40,65,10806
40,66,19987
40,67,21566
40,68,22420
40,69,17446
40,70,13123
40,71,24010
40,72,7670
40,73,17378
40,74,5704
40,75,3691
40,76,18026
40,77,23283
40,78,16318
40,79,18052
40,80,14455
40,81,4401
40,82,19152
40,83,18111
40,84,5275
40,85,14283
40,86,8659
40,87,109
40,88,23722
40,89,22656
40,90,11095
40,91,9056
40,92,23089
40,93,17678
40,94,6725
40,95,18285
40,96,4484
40,97,878
40,98,17721
40,99,11564
40,100,18783
40,101,8194
40,102,9869
40,103,19351
40,104,14665
40,105,20908
40,106,21933
40,107,10260
40,108,20200
