segment_length,run_index,start_index
20,1,19430
20,2,3670
20,3,17810
20,4,5507
20,5,7510
20,6,23071
20,7,3958
20,8,2396
20,9,7403
20,10,5208
20,11,13301
20,12,19301
20,13,15385
20,14,20297
20,15,13282
20,16,1656
20,17,3546
20,18,1600
20,19,3560
20,20,13570
20,21,12648
20,22,12794
20,23,8862
20,24,1052
20,25,6590
20,26,2780
20,27,16797
20,28,6870
20,29,5526
20,30,13803
20,31,20417
20,32,22371
20,33,21397
20,34,2504
20,35,24166
20,36,3216
20,37,15110
20,38,6214
20,39,5334
20,40,106
20,41,24238
20,42,20566
20,43,16344
20,44,9440
20,45,10827
20,46,13904
20,47,17669
20,48,23987
20,49,11931
20,50,20166
20,51,18536
20,52,7119
20,53,22071
20,54,11763
20,55,17163
20,56,10703
20,57,21273
20,58,19697
20,59,1965
20,60,20012
20,61,16833
20,62,6516
20,63,9225
20,64,23873
20,65,3085
20,66,14388
20,67,9095
20,68,5039
20,69,13929
20,70,23769
20,71,18538
20,72,22244
20,73,15146
20,74,2491
20,75,5543
20,76,5559
20,77,11247
20,78,9532
20,79,11843
20,80,3230
20,81,18892
20,82,14100
20,83,13849
20,84,21998
20,85,18313
20,86,20298
20,87,13595
20,88,23121
20,89,17336
20,90,2961
20,91,21968
20,92,20115
20,93,13831
20,94,4008
20,95,11253
20,96,766
20,97,333
20,98,17948
20,99,12509
20,100,2014
20,101,23844
20,102,13739
20,103,3848
20,104,2647
20,105,22660
20,106,9777
20,107,21478
20,108,5503
20,109,12764
20,110,20936
20,111,7193
20,112,23896
20,113,9017
20,114,24062
20,115,18052
20,116,17536
20,117,2331
20,118,1153
20,119,5636
20,120,4427
20,121,10143
20,122,3930
20,123,15225
20,124,3401
20,125,10046
20,126,14105
20,127,17764
20,128,4440
20,129,15918
20,130,14576
20,131,15405
20,132,8589
20,133,21874
20,134,10174
20,135,17428
20,136,6740
20,137,13671
20,138,2026
20,139,19266
20,140,242
20,141,12972
20,142,17619
20,143,22877
20,144,7866
20,145,13381
20,146,5357
20,147,18395
20,148,10140
20,149,17920
20,150,12389
40,1,15723
40,2,21819
40,3,23638
40,4,15906
40,5,15046
40,6,17646
40,7,15084
40,8,21580
40,9,4040
40,10,23042
40,11,6944
40,12,19377
40,13,10973
40,14,21642
40,15,20009
40,16,17204
40,17,12357
40,18,5827
40,19,21961
40,20,20107
40,21,14978
40,22,15626
40,23,18486
40,24,15558
40,25,20810
40,26,2758
40,27,1811
40,28,3068
40,29,12414
40,30,21629
40,31,10263
40,32,1158
40,33,15181
40,34,10189
40,35,21047
40,36,1082
40,37,5749
40,38,19481
40,39,15974
40,40,7660
40,41,4436
40,42,18837
40,43,15567
40,44,19798
40,45,19543
40,46,6533
40,47,19777
40,48,7930
40,49,6970
40,50,10505
40,51,4582
40,52,8390
40,53,9614
40,54,1221
40,55,11446
40,56,12210
40,57,82
40,58,21061
40,59,669
40,60,23098
40,61,916
40,62,23190
40,63,4966
40,64,9830
40,65,10817
40,66,20007
40,67,21587
40,68,22442
40,69,17464
40,70,13136
40,71,24034
40,72,7678
40,73,17395
40,74,5710
40,75,3695
40,76,18044
40,77,23306
40,78,16334
40,79,18070
40,80,14470
40,81,4405
40,82,19171
40,83,18129
40,84,5280
40,85,14297
40,86,8668
40,87,109
40,88,23745
40,89,22679
40,90,11106
40,91,9065
40,92,23112
40,93,17696
40,94,6732
40,95,18303
40,96,4489
40,97,878
40,98,17738
40,99,11576
40,100,18802
40,101,8202
40,102,9879
40,103,19370
40,104,14680
40,105,20929
40,106,21954
40,107,10270
40,108,20220
40,109,18229
40,110,23488
40,111,3990
40,112,8467
40,113,12099
40,114,12424
40,115,16261
40,116,3196
40,117,2671
40,118,24081
40,119,17147
40,120,18842
40,121,19719
40,122,9938
40,123,1852
40,124,7584
40,125,19384
40,126,18633
40,127,571
40,128,12634
40,129,14556
40,130,21854
40,131,6009
40,132,1821
40,133,24191
40,134,12599
40,135,2678
40,136,11267
40,137,10919
40,138,13246
40,139,3373
40,140,1380
40,141,16232
40,142,6844
40,143,12200
