segment_length,rank0,rank1,rank2,rank3
20,150,0,0,0
40,150,0,0,0
60,82,68,0,0
80,11,139,0,0
100,0,150,0,0
120,0,150,0,0
140,0,150,0,0
160,0,150,0,0
180,0,150,0,0
200,0,150,0,0
220,0,150,0,0
240,0,150,0,0
260,0,150,0,0
280,0,150,0,0
300,0,150,0,0
320,0,150,0,0
340,0,150,0,0
360,0,150,0,0
380,0,150,0,0
400,0,150,0,0
420,0,150,0,0
440,0,150,0,0
460,0,150,0,0
480,0,150,0,0
500,0,150,0,0
520,0,150,0,0
540,0,150,0,0
560,0,150,0,0
580,0,150,0,0
600,0,150,0,0
620,0,150,0,0
640,0,150,0,0
660,0,150,0,0
680,0,150,0,0
700,0,150,0,0
720,0,150,0,0
740,0,150,0,0
760,0,150,0,0
780,0,150,0,0
800,0,150,0,0
