segment_length,run_index,start_index
20,1,19417
20,2,3667
20,3,17798
20,4,5503
20,5,7505
20,6,23056
20,7,3955
20,8,2394
20,9,7398
20,10,5204
20,11,13292
20,12,19288
20,13,15375
20,14,20284
20,15,13273
20,16,1655
20,17,3543
20,18,1599
20,19,3558
20,20,13561
40,1,12629
40,2,12775
40,3,8849
40,4,1050
40,5,6580
40,6,2776
40,7,16772
40,8,6860
40,9,5517
40,10,13782
40,11,20387
40,12,22338
40,13,21365
40,14,2501
40,15,24130
40,16,3211
40,17,15088
40,18,6205
40,19,5326
40,20,105
60,1,24182
60,2,20518
60,3,16306
60,4,9418
60,5,10802
60,6,13872
60,7,17628
60,8,23931
60,9,11903
60,10,20119
60,11,18493
60,12,7103
60,13,22020
60,14,11736
60,15,17123
60,16,10679
60,17,21224
60,18,19651
60,19,1961
60,20,19966
80,1,16780
80,2,6495
80,3,9196
80,4,23798
80,5,3075
80,6,14343
80,7,9066
80,8,5023
80,9,13886
80,10,23695
80,11,18480
80,12,22174
80,13,15099
80,14,2483
80,15,5525
80,16,5542
80,17,11212
80,18,9502
80,19,11806
80,20,3220
100,1,18817
100,2,14044
100,3,13795
100,4,21911
100,5,18241
100,6,20218
100,7,13542
100,8,23030
100,9,17268
100,10,2950
100,11,21882
100,12,20035
100,13,13776
100,14,3992
100,15,11208
100,16,762
100,17,332
100,18,17877
100,19,12460
100,20,2006
120,1,23730
120,2,13674
120,3,3830
120,4,2634
120,5,22552
120,6,9730
120,7,21375
120,8,5476
120,9,12703
120,10,20836
120,11,7159
120,12,23782
120,13,8973
120,14,23947
120,15,17966
120,16,17452
120,17,2319
120,18,1147
120,19,5609
120,20,4406
140,1,10086
140,2,3908
140,3,15140
140,4,3382
140,5,9990
140,6,14026
140,7,17664
140,8,4415
140,9,15829
140,10,14494
140,11,15318
140,12,8541
140,13,21751
140,14,10117
140,15,17331
140,16,6702
140,17,13594
140,18,2015
140,19,19157
140,20,241
160,1,12889
160,2,17505
160,3,22730
160,4,7816
160,5,13295
160,6,5322
160,7,18277
160,8,10075
160,9,17805
160,10,12310
160,11,15634
160,12,21697
160,13,23505
160,14,15817
160,15,14962
160,16,17547
160,17,14999
160,18,21459
160,19,4018
160,20,22913
180,1,6899
180,2,19253
180,3,10903
180,4,21502
180,5,19881
180,6,17094
180,7,12277
180,8,5789
180,9,21819
180,10,19977
180,11,14881
180,12,15525
180,13,18367
180,14,15458
180,15,20676
180,16,2741
180,17,1799
180,18,3048
180,19,12334
180,20,21490
200,1,10189
200,2,1150
200,3,15070
200,4,10115
200,5,20895
200,6,1074
200,7,5707
200,8,19339
200,9,15858
200,10,7604
200,11,4404
200,12,18700
200,13,15454
200,14,19654
200,15,19401
200,16,6485
200,17,19633
200,18,7872
200,19,6920
200,20,10429
220,1,4545
220,2,8322
220,3,9537
220,4,1211
220,5,11354
220,6,12111
220,7,81
220,8,20890
220,9,663
220,10,22912
220,11,909
220,12,23002
220,13,4926
220,14,9750
220,15,10730
220,16,19845
220,17,21413
220,18,22261
220,19,17322
220,20,13030
240,1,23820
240,2,7609
240,3,17240
240,4,5659
240,5,3662
240,6,17883
240,7,23098
240,8,16188
240,9,17909
240,10,14341
240,11,4366
240,12,19000
240,13,17968
240,14,5233
240,15,14170
240,16,8591
240,17,108
240,18,23533
240,19,22476
240,20,11007
260,1,8977
260,2,22887
260,3,17523
260,4,6666
260,5,18124
260,6,4445
260,7,870
260,8,17565
260,9,11463
260,10,18618
260,11,8122
260,12,9783
260,13,19182
260,14,14537
260,15,20725
260,16,21740
260,17,10170
260,18,20023
260,19,18051
260,20,23260
280,1,3948
280,2,8378
280,3,11971
280,4,12293
280,5,16089
280,6,3162
280,7,2643
280,8,23827
280,9,16966
280,10,18643
280,11,19511
280,12,9833
280,13,1833
280,14,7504
280,15,19179
280,16,18436
280,17,565
280,18,12501
280,19,14402
280,20,21623
300,1,5941
300,2,1801
300,3,23916
300,4,12456
300,5,2648
300,6,11139
300,7,10795
300,8,13095
300,9,3335
300,10,1364
300,11,16047
300,12,6766
300,13,12061
300,14,9768
300,15,12225
300,16,8467
300,17,16993
300,18,8973
300,19,9546
300,20,11360
