segment_length,run_index,rank,births
20,1,0,""
20,2,0,""
20,3,0,""
20,4,0,""
20,5,0,""
20,6,0,""
20,7,0,""
20,8,0,""
20,9,0,""
20,10,0,""
20,11,0,""
20,12,0,""
20,13,0,""
20,14,0,""
20,15,0,""
20,16,0,""
20,17,0,""
20,18,0,""
20,19,0,""
20,20,0,""
20,21,0,""
20,22,0,""
20,23,0,""
20,24,0,""
20,25,0,""
20,26,0,""
20,27,0,""
20,28,0,""
20,29,0,""
20,30,0,""
20,31,0,""
20,32,0,""
20,33,0,""
20,34,0,""
20,35,0,""
20,36,0,""
20,37,0,""
20,38,0,""
20,39,0,""
20,40,0,""
20,41,0,""
20,42,0,""
20,43,0,""
20,44,0,""
20,45,0,""
20,46,0,""
20,47,0,""
20,48,0,""
20,49,0,""
20,50,0,""
40,1,0,""
40,2,0,""
40,3,0,""
40,4,0,""
40,5,0,""
40,6,0,""
40,7,0,""
40,8,0,""
40,9,0,""
40,10,0,""
40,11,0,""
40,12,0,""
40,13,0,""
40,14,0,""
40,15,0,""
40,16,0,""
40,17,0,""
40,18,0,""
40,19,0,""
40,20,0,""
40,21,0,""
40,22,0,""
40,23,0,""
40,24,0,""
40,25,0,""
40,26,0,""
40,27,0,""
40,28,0,""
40,29,0,""
40,30,0,""
40,31,0,""
40,32,0,""
40,33,0,""
40,34,0,""
40,35,0,""
40,36,0,""
40,37,0,""
40,38,0,""
40,39,0,""
40,40,0,""
40,41,0,""
40,42,0,""
40,43,0,""
40,44,0,""
40,45,0,""
40,46,0,""
40,47,0,""
40,48,0,""
40,49,0,""
40,50,0,""
60,1,0,""
60,2,0,""
60,3,0,""
60,4,0,""
60,5,0,""
60,6,0,""
60,7,0,""
60,8,0,""
60,9,0,""
60,10,0,""
60,11,0,""
60,12,0,""
60,13,0,""
60,14,0,""
60,15,0,""
60,16,0,""
60,17,0,""
60,18,0,""
60,19,0,""
60,20,0,""
60,21,0,""
60,22,0,""
60,23,0,""
60,24,0,""
60,25,0,""
60,26,0,""
60,27,0,""
60,28,0,""
60,29,0,""
60,30,0,""
60,31,0,""
60,32,0,""
60,33,0,""
60,34,0,""
60,35,0,""
60,36,0,""
60,37,0,""
60,38,0,""
60,39,0,""
60,40,0,""
60,41,0,""
60,42,0,""
60,43,0,""
