segment_length,run_index,start_index
20,1,19430
20,2,3670
20,3,17810
20,4,5507
20,5,7510
20,6,23071
20,7,3958
20,8,2396
20,9,7403
20,10,5208
20,11,13301
20,12,19301
20,13,15385
20,14,20297
20,15,13282
20,16,1656
20,17,3546
20,18,1600
20,19,3560
20,20,13570
20,21,12648
20,22,12794
20,23,8862
20,24,1052
20,25,6590
20,26,2780
20,27,16797
20,28,6870
20,29,5526
20,30,13803
20,31,20417
20,32,22371
20,33,21397
20,34,2504
20,35,24166
20,36,3216
20,37,15110
20,38,6214
20,39,5334
20,40,106
20,41,24238
20,42,20566
20,43,16344
20,44,9440
20,45,10827
20,46,13904
20,47,17669
20,48,23987
20,49,11931
20,50,20166
40,1,18520
40,2,7113
40,3,22053
40,4,11754
40,5,17149
40,6,10694
40,7,21255
40,8,19681
40,9,1964
40,10,19996
40,11,16819
40,12,6510
40,13,9217
40,14,23853
40,15,3082
40,16,14376
40,17,9087
40,18,5035
40,19,13918
40,20,23750
40,21,18523
40,22,22226
40,23,15134
40,24,2489
40,25,5538
40,26,5555
40,27,11238
40,28,9524
40,29,11834
40,30,3228
40,31,18876
40,32,14088
40,33,13838
40,34,21980
40,35,18298
40,36,20282
40,37,13584
40,38,23102
40,39,17322
40,40,2959
40,41,21950
40,42,20098
40,43,13820
40,44,4004
40,45,11243
40,46,765
40,47,333
40,48,17933
40,49,12499
40,50,2012
60,1,23805
60,2,13717
60,3,3842
60,4,2642
60,5,22623
60,6,9761
60,7,21442
60,8,5494
60,9,12743
60,10,20902
60,11,7182
60,12,23857
60,13,9002
60,14,24023
60,15,18022
60,16,17507
60,17,2327
60,18,1151
60,19,5626
60,20,4420
60,21,10126
60,22,3923
60,23,15200
60,24,3395
60,25,10029
60,26,14081
60,27,17734
60,28,4433
60,29,15892
60,30,14552
60,31,15379
60,32,8575
60,33,21838
60,34,10157
60,35,17400
60,36,6729
60,37,13648
60,38,2023
60,39,19234
60,40,242
60,41,12951
60,42,17590
60,43,22839
60,44,7853
60,45,13359
60,46,5348
60,47,18365
60,48,10123
60,49,17891
60,50,12369
80,1,15697
80,2,21783
80,3,23599
80,4,15880
80,5,15021
80,6,17616
80,7,15059
80,8,21544
80,9,4034
80,10,23004
80,11,6932
80,12,19345
80,13,10955
80,14,21606
80,15,19976
80,16,17176
80,17,12336
80,18,5817
80,19,21924
80,20,20073
80,21,14953
80,22,15600
80,23,18456
80,24,15533
80,25,20776
80,26,2754
80,27,1808
80,28,3063
80,29,12393
80,30,21594
80,31,10246
80,32,1156
80,33,15155
80,34,10172
80,35,21013
80,36,1080
80,37,5740
80,38,19449
80,39,15947
80,40,7647
80,41,4429
80,42,18806
80,43,15541
80,44,19765
80,45,19511
80,46,6522
80,47,19744
80,48,7917
80,49,6959
80,50,10488
100,1,4570
100,2,8369
100,3,9591
100,4,1217
100,5,11418
100,6,12179
100,7,82
100,8,21009
100,9,667
100,10,23041
100,11,914
100,12,23132
100,13,4954
100,14,9805
100,15,10790
100,16,19957
100,17,21534
100,18,22387
100,19,17420
100,20,13103
100,21,23974
100,22,7659
100,23,17352
100,24,5696
100,25,3685
100,26,17999
100,27,23248
100,28,16293
100,29,18025
100,30,14434
100,31,4394
100,32,19123
100,33,18084
100,34,5267
100,35,14262
100,36,8647
100,37,109
100,38,23686
100,39,22622
100,40,11078
100,41,9043
100,42,23055
100,43,17652
100,44,6715
100,45,18257
100,46,4477
100,47,876
100,48,17694
100,49,11547
100,50,18755
120,1,8175
120,2,9846
120,3,19306
120,4,14631
120,5,20860
120,6,21882
120,7,10237
120,8,20153
120,9,18169
120,10,23411
120,11,3977
120,12,8439
120,13,12059
120,14,12383
120,15,16207
120,16,3185
120,17,2663
120,18,24002
120,19,17091
120,20,18780
120,21,19654
120,22,9905
120,23,1846
120,24,7559
120,25,19320
120,26,18571
120,27,569
120,28,12593
120,29,14508
120,30,21782
120,31,5989
120,32,1815
120,33,24111
120,34,12558
120,35,2669
120,36,11230
120,37,10883
120,38,13202
120,39,3362
120,40,1375
120,41,16178
120,42,6821
120,43,12160
