segment_length,run_index,start_index
50,1,9976
50,2,1884
50,3,9144
50,4,2827
50,5,3856
50,6,11845
50,7,2032
50,8,1230
50,9,3801
50,10,2674
50,11,6829
50,12,9909
50,13,7899
50,14,10421
50,15,6819
50,16,850
50,17,1821
50,18,822
50,19,1828
50,20,6967
50,21,6494
50,22,6568
50,23,4550
50,24,540
50,25,3383
50,26,1428
50,27,8624
50,28,3527
50,29,2837
50,30,7087
50,31,10483
50,32,11486
50,33,10986
50,34,1286
50,35,12407
50,36,1651
50,37,7758
50,38,3190
50,39,2739
50,40,54
50,41,12444
50,42,10559
50,43,8391
50,44,4847
50,45,5559
50,46,7138
50,47,9072
50,48,12315
50,49,6126
50,50,10353
50,51,9516
50,52,3655
50,53,11332
50,54,6040
50,55,8812
50,56,5495
50,57,10922
50,58,10113
50,59,1009
50,60,10275
50,61,8642
50,62,3345
50,63,4736
50,64,12256
50,65,1584
50,66,7387
50,67,4669
50,68,2587
50,69,7152
50,70,12203
50,71,9518
50,72,11420
50,73,7776
50,74,1279
50,75,2846
50,76,2854
50,77,5774
50,78,4894
50,79,6081
50,80,1659
50,81,9699
50,82,7239
50,83,7111
50,84,11294
50,85,9402
50,86,10421
50,87,6980
50,88,11871
50,89,8901
50,90,1521
50,91,11279
50,92,10327
50,93,7101
50,94,2058
50,95,5777
50,96,393
50,97,171
50,98,9215
50,99,6423
50,100,1034
50,101,12242
50,102,7054
50,103,1976
50,104,1359
50,105,11634
50,106,5020
50,107,11027
50,108,2825
50,109,6553
50,110,10749
50,111,3693
50,112,12269
50,113,4629
50,114,12354
50,115,9268
50,116,9003
50,117,1197
50,118,592
50,119,2894
50,120,2273
50,121,5208
50,122,2018
50,123,7817
50,124,1746
50,125,5158
50,126,7242
50,127,9120
50,128,2280
50,129,8173
50,130,7483
50,131,7909
50,132,4410
50,133,11230
50,134,5224
50,135,8948
50,136,3460
50,137,7019
50,138,1041
50,139,9891
50,140,125
50,141,6660
50,142,9046
50,143,11745
50,144,4039
50,145,6870
50,146,2750
50,147,9444
50,148,5206
50,149,9201
50,150,6361
100,1,8046
100,2,11166
100,3,12097
100,4,8141
100,5,7700
100,6,9031
100,7,7720
100,8,11044
100,9,2068
100,10,11792
100,11,3554
100,12,9917
100,13,5616
100,14,11076
100,15,10240
100,16,8805
100,17,6324
100,18,2982
100,19,11239
100,20,10290
100,21,7665
100,22,7997
100,23,9461
100,24,7962
100,25,10650
100,26,1412
100,27,927
100,28,1570
100,29,6353
100,30,11069
100,31,5253
100,32,593
100,33,7769
100,34,5215
100,35,10771
100,36,554
100,37,2942
100,38,9970
100,39,8175
100,40,3920
100,41,2270
100,42,9640
100,43,7967
100,44,10132
100,45,10002
100,46,3343
100,47,10121
100,48,4058
100,49,3567
100,50,5376
100,51,2345
100,52,4294
100,53,4921
100,54,625
100,55,5858
100,56,6249
100,57,42
100,58,10778
100,59,342
100,60,11821
100,61,469
100,62,11868
100,63,2542
100,64,5031
100,65,5536
100,66,10239
100,67,11048
100,68,11485
100,69,8937
100,70,6723
100,71,12300
100,72,3929
100,73,8902
100,74,2922
100,75,1891
100,76,9234
100,77,11927
100,78,8359
100,79,9248
100,80,7405
100,81,2255
100,82,9811
100,83,9278
100,84,2702
100,85,7317
100,86,4436
100,87,56
100,88,12152
100,89,11606
100,90,5684
100,91,4639
100,92,11828
100,93,9056
100,94,3445
100,95,9367
100,96,2297
100,97,450
100,98,9078
100,99,5924
100,100,9622
100,101,4198
100,102,5056
100,103,9913
100,104,7513
100,105,10711
100,106,11236
100,107,5256
100,108,10348
100,109,9329
100,110,12021
100,111,2042
100,112,4333
100,113,6192
100,114,6358
100,115,8322
100,116,1636
100,117,1367
100,118,12324
100,119,8776
100,120,9643
100,121,10092
100,122,5086
100,123,948
100,124,3882
100,125,9920
100,126,9536
100,127,292
100,128,6466
100,129,7449
100,130,11184
100,131,3075
100,132,932
100,133,12380
100,134,6448
100,135,1371
100,136,5766
100,137,5588
100,138,6779
100,139,1727
100,140,706
100,141,8307
100,142,3503
100,143,6244
100,144,5057
100,145,6329
100,146,4383
100,147,8797
100,148,4645
100,149,4942
100,150,5881
150,1,6915
150,2,1285
150,3,12083
150,4,6339
150,5,8909
150,6,11966
150,7,734
150,8,10980
150,9,9517
150,10,6279
150,11,7176
150,12,4391
150,13,9772
150,14,1154
150,15,12201
150,16,5626
150,17,6349
150,18,1852
150,19,11397
150,20,8126
150,21,7570
150,22,6509
150,23,2380
150,24,7113
150,25,9025
150,26,9896
150,27,3430
150,28,2032
150,29,10985
150,30,4956
150,31,9522
150,32,7562
150,33,4260
150,34,11097
150,35,3717
150,36,3973
150,37,9894
150,38,3958
150,39,8521
150,40,284
150,41,7658
150,42,10439
150,43,5483
150,44,9601
150,45,7277
150,46,8208
150,47,5422
150,48,10898
150,49,914
150,50,3014
150,51,12337
150,52,7517
150,53,4609
150,54,4202
150,55,7735
150,56,10171
150,57,4214
150,58,6112
150,59,152
150,60,2430
150,61,5144
150,62,89
150,63,5047
150,64,7370
150,65,3463
150,66,2586
150,67,4503
150,68,1155
150,69,5048
150,70,5951
150,71,10739
150,72,9162
150,73,11711
150,74,9346
150,75,10785
150,76,3460
150,77,10453
150,78,6180
150,79,8033
150,80,12302
150,81,11664
150,82,1597
150,83,867
150,84,9074
150,85,6386
150,86,1885
150,87,9132
150,88,12260
150,89,11165
150,90,11277
150,91,1718
150,92,2233
150,93,4199
150,94,1831
150,95,6004
150,96,1504
150,97,5296
150,98,4932
150,99,9884
150,100,7110
150,101,2506
150,102,4916
150,103,11625
150,104,374
150,105,2773
150,106,2550
150,107,1102
150,108,44
150,109,9795
150,110,9045
150,111,2226
150,112,8188
150,113,4904
150,114,9182
150,115,9801
150,116,8280
150,117,11668
150,118,489
150,119,10382
150,120,4674
150,121,1513
150,122,1846
150,123,11168
150,124,3227
150,125,5295
150,126,5220
150,127,6905
150,128,9374
150,129,5281
150,130,829
150,131,6413
150,132,10533
150,133,2860
150,134,12298
150,135,4605
150,136,4604
150,137,9701
150,138,2251
150,139,4292
150,140,942
150,141,73
150,142,6029
150,143,2957
150,144,8978
150,145,4926
150,146,3216
150,147,5821
150,148,7569
150,149,2750
150,150,2632
200,1,6681
200,2,11154
200,3,4573
200,4,9637
200,5,3702
200,6,1325
200,7,5559
200,8,1622
200,9,6038
200,10,9749
200,11,1416
200,12,6030
200,13,3095
200,14,5488
200,15,4814
200,16,9375
200,17,10870
200,18,3223
200,19,7202
200,20,1165
200,21,1272
200,22,10899
200,23,797
200,24,10079
200,25,12241
200,26,3427
200,27,10939
200,28,1964
200,29,4740
200,30,2416
200,31,11578
200,32,832
200,33,7435
200,34,2306
200,35,5085
200,36,962
200,37,6763
200,38,1677
200,39,11444
200,40,10453
200,41,8115
200,42,3695
200,43,9799
200,44,893
200,45,9554
200,46,7212
200,47,6203
200,48,10151
200,49,2478
200,50,1727
200,51,12298
200,52,11561
200,53,7168
200,54,3898
200,55,10912
200,56,8641
200,57,7915
200,58,6750
200,59,7963
200,60,6389
200,61,3207
200,62,9691
200,63,4597
200,64,8725
200,65,3840
200,66,7192
200,67,8139
200,68,10324
200,69,2305
200,70,11237
200,71,6330
200,72,7283
200,73,10582
200,74,4196
200,75,4107
200,76,4097
200,77,8317
200,78,2243
200,79,5690
200,80,6316
200,81,8241
200,82,163
200,83,5056
200,84,10772
200,85,8450
200,86,9200
200,87,2137
200,88,6871
200,89,12264
200,90,10096
200,91,9333
200,92,10513
200,93,579
200,94,10528
200,95,1644
200,96,2082
200,97,8800
200,98,7475
200,99,4529
200,100,4264
200,101,5419
200,102,10432
200,103,6784
200,104,9540
200,105,989
200,106,227
200,107,6681
200,108,5447
200,109,267
200,110,1447
200,111,9557
200,112,11827
200,113,11873
200,114,8312
200,115,4515
200,116,9922
200,117,12129
200,118,10051
200,119,9437
200,120,2224
200,121,5314
200,122,6338
200,123,7227
200,124,648
200,125,5367
200,126,9077
200,127,6199
200,128,894
200,129,10226
200,130,7848
200,131,7484
200,132,1926
200,133,3487
200,134,543
200,135,1306
200,136,7359
200,137,1659
200,138,8117
200,139,8954
200,140,4106
200,141,3608
200,142,8690
200,143,3445
200,144,10483
200,145,7815
200,146,6440
200,147,9579
200,148,4939
200,149,2045
200,150,3055
250,1,4226
250,2,11412
250,3,2791
250,4,7719
250,5,11071
250,6,5033
250,7,7756
250,8,9912
250,9,1655
250,10,1887
250,11,2869
250,12,10971
250,13,4296
250,14,10808
250,15,3429
250,16,9109
250,17,8436
250,18,12150
250,19,6514
250,20,8019
250,21,4496
250,22,116
250,23,5494
250,24,2557
250,25,6286
250,26,11930
250,27,10357
250,28,7355
250,29,9649
250,30,1324
250,31,6065
250,32,3527
250,33,5794
250,34,7707
250,35,9363
250,36,10386
250,37,5230
250,38,11386
250,39,1492
250,40,7425
250,41,9071
250,42,1271
250,43,11981
250,44,6994
250,45,4530
250,46,5139
250,47,9494
250,48,4365
250,49,3841
250,50,8540
250,51,11931
250,52,9894
250,53,5104
250,54,2571
250,55,7510
250,56,8902
250,57,8012
250,58,387
250,59,11491
250,60,2576
250,61,6046
250,62,2760
250,63,8533
250,64,1343
250,65,8879
250,66,10332
250,67,12177
250,68,8762
250,69,1515
250,70,982
250,71,5082
250,72,1399
250,73,392
250,74,1116
250,75,5130
250,76,10202
250,77,6393
250,78,2132
250,79,8808
250,80,7011
250,81,6067
250,82,11379
250,83,9071
250,84,2229
250,85,6466
250,86,7167
250,87,8317
250,88,8326
250,89,11188
250,90,10840
250,91,8875
250,92,11228
250,93,796
