segment_length,run_index,rank,births
100,1,0,""
100,2,0,""
100,3,0,""
100,4,0,""
100,5,0,""
100,6,0,""
100,7,0,""
100,8,0,""
100,9,0,""
100,10,0,""
100,11,0,""
100,12,0,""
100,13,0,""
100,14,0,""
100,15,0,""
100,16,0,""
100,17,0,""
100,18,0,""
100,19,0,""
100,20,0,""
200,1,0,""
200,2,0,""
200,3,0,""
200,4,0,""
200,5,0,""
200,6,0,""
200,7,0,""
200,8,0,""
200,9,0,""
200,10,0,""
200,11,0,""
200,12,0,""
200,13,0,""
200,14,0,""
200,15,0,""
200,16,0,""
200,17,0,""
200,18,0,""
200,19,0,""
200,20,0,""
400,1,1,"0.8050169710640951"
400,2,1,"0.21320574992288077"
400,3,1,"0.36066299404843166"
400,4,1,"0.21346621366204394"
400,5,1,"0.36639325070273565"
400,6,1,"0.22865230649499116"
400,7,1,"0.8643784428431852"
400,8,0,""
400,9,1,"0.8746858334743755"
400,10,1,"0.18115909676045572"
400,11,0,""
400,12,1,"0.5301555964099971"
400,13,1,"0.27975602001279387"
400,14,1,"0.7638203227598802"
400,15,1,"0.5594068374736366"
400,16,1,"0.48285084670797707"
400,17,1,"0.182896157061707"
400,18,1,"0.1409082901600678"
400,19,1,"0.9043771049594914"
400,20,1,"0.18996142206205924"
800,1,1,"0.36066299404843166"
800,2,1,"0.4252616958080447"
800,3,1,"0.18321047484602485"
800,4,1,"0.3918534089372953"
800,5,1,"0.19193273682480852"
800,6,1,"0.1453695640392812"
800,7,1,"0.18321047484602485"
800,8,1,"0.3959700438016118"
800,9,1,"0.1453695640392812"
800,10,1,"0.3918534089372953"
800,11,2,"0.19987388278878096;0.9504615303509825"
800,12,1,"0.2187311243685525"
800,13,1,"0.18817492521601142"
800,14,1,"0.21884710266113724"
800,15,1,"0.5872804965218608"
800,16,1,"0.5872804965218608"
800,17,1,"0.36639325070273565"
800,18,1,"0.2045092167376329"
800,19,2,"0.4850596500875915;0.9417498863994432"
800,20,1,"0.19193273682480852"
1200,1,2,"0.17237002937102947;0.9504615303509825"
1200,2,1,"0.12739117788449025"
1200,3,1,"0.12739117788449025"
1200,4,1,"0.14986465720523565"
1200,5,2,"0.19987388278878096;0.9504615303509825"
1200,6,1,"0.1409082901600678"
1200,7,2,"0.1453695640392812;0.9417498863994432"
1200,8,1,"0.22289942227935028"
1200,9,2,"0.36066299404843166;0.9504615303509825"
1200,10,1,"0.19193273682480852"
1200,11,1,"0.14986465720523565"
1200,12,1,"0.13319430534175317"
1200,13,1,"0.12739117788449025"
1200,14,1,"0.2135889429404339"
1200,15,1,"0.2747339872456944"
1200,16,1,"0.2784691628949965"
1200,17,1,"0.34113958532787825"
1200,18,2,"0.2747464664709461;0.9504615303509825"
1200,19,2,"0.1934254801327318;0.9417498863994432"
1200,20,1,"0.19193273682480852"
