segment_length,run_index,rank,births
100,1,0,""
100,2,0,""
100,3,0,""
100,4,0,""
100,5,0,""
100,6,0,""
100,7,0,""
100,8,0,""
100,9,0,""
100,10,0,""
100,11,0,""
100,12,0,""
100,13,0,""
100,14,0,""
100,15,0,""
100,16,0,""
100,17,0,""
100,18,0,""
100,19,0,""
100,20,0,""
200,1,1,"0.007928747409683318"
200,2,1,"0.008769914422165515"
200,3,1,"0.007928599914911202"
200,4,1,"0.009175548368873462"
200,5,1,"0.008865889680420298"
200,6,1,"0.00915377519102355"
200,7,1,"0.007928549992722054"
200,8,1,"0.008618213163785655"
200,9,1,"0.008026013172965243"
200,10,1,"0.008084962261781141"
200,11,1,"0.007929216110505385"
200,12,1,"0.008408334227189044"
200,13,1,"0.00910745281948214"
200,14,1,"0.009165146158046762"
200,15,1,"0.007928495843837672"
200,16,1,"0.007928957891075691"
200,17,1,"0.008041997925190796"
200,18,1,"0.007928515018867783"
200,19,1,"0.007928586588551228"
200,20,1,"0.009086685536982898"
400,1,1,"0.007928494095695123"
400,2,1,"0.007928849241395197"
400,3,1,"0.00792851158098951"
400,4,1,"0.007928677602114"
400,5,1,"0.007928894688814402"
400,6,1,"0.007928577596372841"
400,7,1,"0.00792860968619147"
400,8,1,"0.007928494095695123"
400,9,1,"0.0079288678259521"
400,10,1,"0.007928990387631068"
400,11,1,"0.007928738411623741"
400,12,1,"0.0079284941751199"
400,13,1,"0.007928601122801986"
400,14,1,"0.007928937081836661"
400,15,1,"0.007928577199990731"
400,16,1,"0.007928894688814402"
400,17,1,"0.007928732232451852"
400,18,1,"0.00792898152001918"
400,19,1,"0.007928876638328631"
400,20,1,"0.007928990387631068"
800,1,1,"0.00792851158098951"
800,2,1,"0.0079284941751199"
800,3,1,"0.007928599914911202"
800,4,1,"0.007928494095695123"
800,5,1,"0.007928763066469799"
800,6,1,"0.007928510886479594"
800,7,1,"0.007928599914911202"
800,8,1,"0.007928533178875112"
800,9,1,"0.007928527439564948"
800,10,1,"0.007928497869306262"
800,11,1,"0.007928647410433861"
800,12,1,"0.007928601122801986"
800,13,1,"0.007928494604934852"
800,14,1,"0.007928886895310851"
800,15,1,"0.007928502494615929"
800,16,1,"0.007928502494615929"
800,17,1,"0.007928937081836661"
800,18,1,"0.007928636154015102"
800,19,1,"0.00792880461820069"
800,20,1,"0.007928763066469799"
1200,1,1,"0.00792860968619147"
1200,2,1,"0.007928510886479594"
1200,3,1,"0.007928527439564948"
1200,4,1,"0.007928601122801986"
1200,5,1,"0.007928549992722054"
1200,6,1,"0.007928849241395197"
1200,7,1,"0.007928527439564948"
1200,8,1,"0.007928522158416614"
1200,9,1,"0.007928500460659085"
1200,10,1,"0.00792866309225194"
1200,11,1,"0.007928601122801986"
1200,12,1,"0.007928791609012196"
1200,13,1,"0.007928527439564948"
1200,14,1,"0.00792855702039729"
1200,15,1,"0.00792883280150859"
1200,16,1,"0.007928665754347763"
1200,17,1,"0.007928591889274215"
1200,18,1,"0.007928528105781688"
1200,19,1,"0.007928650794506885"
1200,20,1,"0.0079288219796849"
