segment_length,run_index,start_index
100,1,9936
100,2,1877
100,3,9107
100,4,2816
100,5,3841
100,6,11797
100,7,2024
100,8,1225
100,9,3786
100,10,2663
100,11,6801
100,12,9870
100,13,7867
100,14,10379
100,15,6792
100,16,847
100,17,1813
100,18,818
100,19,1821
100,20,6939
200,1,6415
200,2,6489
200,3,4495
200,4,534
200,5,3343
200,6,1410
200,7,8520
200,8,3485
200,9,2803
200,10,7001
200,11,10356
200,12,11347
200,13,10853
200,14,1270
200,15,12257
200,16,1632
200,17,7665
200,18,3152
200,19,2706
200,20,54
400,1,12094
400,2,10262
400,3,8155
400,4,4710
400,5,5403
400,6,6938
400,7,8817
400,8,11969
400,9,5953
400,10,10062
400,11,9249
400,12,3552
400,13,11013
400,14,5870
400,15,8564
400,16,5341
400,17,10615
400,18,9828
400,19,981
400,20,9986
800,1,8122
800,2,3144
800,3,4451
800,4,11518
800,5,1489
800,6,6942
800,7,4388
800,8,2431
800,9,6721
800,10,11468
800,11,8945
800,12,10732
800,13,7308
800,14,1202
800,15,2675
800,16,2682
800,17,5427
800,18,4599
800,19,5714
800,20,1559
1200,1,8803
1200,2,6571
1200,3,6454
1200,4,10251
1200,5,8534
1200,6,9459
1200,7,6336
1200,8,10774
1200,9,8079
1200,10,1380
1200,11,10237
1200,12,9374
1200,13,6445
1200,14,1868
1200,15,5244
1200,16,357
1200,17,156
1200,18,8364
1200,19,5829
1200,20,939
