regime,stride,boxsize,beta1,n_samples,build_seconds
period1,1,0.1,1,91215,4.16
period1,1,0.15,1,91215,0.13
period1,1,0.2,1,91215,0.04
period1,1,0.3,1,91215,0.11
period1,1,0.45,1,91215,0.02
period1,2,0.1,1,45608,0.11
period1,2,0.15,1,45608,0.03
period1,2,0.2,1,45608,0.02
period1,2,0.3,1,45608,0.11
period1,2,0.45,1,45608,0.02
period2,1,0.1,9,95429,0.21
period2,1,0.15,4,95429,0.19
period2,1,0.2,4,95429,0.18
period2,1,0.3,1,95429,0.09
period2,1,0.45,1,95429,0.16
period2,2,0.1,9,47715,0.2
period2,2,0.15,4,47715,0.09
period2,2,0.2,4,47715,0.17
period2,2,0.3,1,47715,0.08
period2,2,0.45,1,47715,0.15
period4,1,0.1,11,93326,0.45
period4,1,0.15,4,93326,0.39
period4,1,0.2,2,93326,0.28
period4,1,0.3,1,93326,0.3
period4,1,0.45,1,93326,0.15
period4,2,0.1,11,46663,0.43
period4,2,0.15,4,46663,0.31
period4,2,0.2,2,46663,0.18
period4,2,0.3,1,46663,0.29
period4,2,0.45,1,46663,0.22
period8,1,0.1,9,94365,0.63
period8,1,0.15,9,94365,0.41
period8,1,0.2,4,94365,0.36
period8,1,0.3,1,94365,0.42
period8,1,0.45,1,94365,0.17
period8,2,0.1,9,47183,0.61
period8,2,0.15,9,47183,0.48
period8,2,0.2,4,47183,0.26
period8,2,0.3,1,47183,0.41
period8,2,0.45,1,47183,0.16
chaos,1,0.1,1,94338,9.45
chaos,1,0.15,1,94338,6.6
chaos,1,0.2,1,94338,5.41
chaos,1,0.3,1,94338,3.83
chaos,1,0.45,1,94338,1.55
chaos,2,0.1,1,47169,6.31
chaos,2,0.15,1,47169,4.1
chaos,2,0.2,1,47169,3.76
chaos,2,0.3,1,47169,3.01
chaos,2,0.45,1,47169,1.44
