segment_length,rank0,rank1,rank2,rank3
40,150,0,0,0
80,150,0,0,0
120,104,46,0,0
160,64,86,0,0
200,56,94,0,0
240,35,115,0,0
280,35,115,0,0
320,13,137,0,0
360,9,141,0,0
400,8,142,0,0
440,4,146,0,0
480,3,147,0,0
520,2,148,0,0
560,3,147,0,0
600,0,150,0,0
640,3,147,0,0
680,1,149,0,0
720,0,150,0,0
760,0,150,0,0
800,0,150,0,0
840,0,150,0,0
880,0,150,0,0
920,0,150,0,0
960,0,150,0,0
1000,0,150,0,0
1040,0,150,0,0
1080,0,150,0,0
1120,0,150,0,0
1160,0,150,0,0
1200,0,150,0,0
1240,0,150,0,0
1280,0,150,0,0
1320,0,150,0,0
1360,0,150,0,0
1400,0,150,0,0
1440,0,150,0,0
1480,0,150,0,0
1520,0,150,0,0
1560,0,150,0,0
1600,0,150,0,0
