segment_length,run_index,start_index
40,1,37543
40,2,7090
40,3,34413
40,4,10640
40,5,14512
40,6,44578
40,7,7647
40,8,4629
40,9,14304
40,10,10062
40,11,25700
40,12,37294
40,13,29727
40,14,39219
40,15,25663
40,16,3199
40,17,6851
40,18,3091
40,19,6879
40,20,26220
40,21,24439
40,22,24720
40,23,17124
40,24,2032
40,25,12732
40,26,5372
40,27,32455
40,28,13274
40,29,10676
40,30,26670
40,31,39451
40,32,43226
40,33,41344
40,34,4838
40,35,46694
40,36,6214
40,37,29197
40,38,12006
40,39,10306
40,40,203
40,41,46833
40,42,39737
40,43,31581
40,44,18239
40,45,20921
40,46,26865
40,47,34141
40,48,46348
40,49,23053
40,50,38965
40,51,35815
40,52,13755
40,53,42647
40,54,22729
40,55,33162
40,56,20681
40,57,41104
40,58,38059
40,59,3797
40,60,38669
40,61,32524
40,62,12590
40,63,17824
40,64,46127
40,65,5960
40,66,27801
40,67,17573
40,68,9736
40,69,26915
40,70,45928
40,71,35820
40,72,42981
40,73,29266
40,74,4812
40,75,10710
40,76,10741
40,77,21732
40,78,18417
40,79,22884
40,80,6242
40,81,36503
40,82,27244
40,83,26760
40,84,42506
40,85,35386
40,86,39221
40,87,26269
40,88,44676
40,89,33498
40,90,5721
40,91,42448
40,92,38867
40,93,26725
40,94,7743
40,95,21742
40,96,1479
40,97,644
40,98,34680
40,99,24171
40,100,3891
40,101,46072
40,102,26547
40,103,7436
40,104,5114
40,105,43784
40,106,18891
40,107,41500
40,108,10632
40,109,24663
40,110,40454
40,111,13899
40,112,46174
40,113,17422
40,114,46494
40,115,34881
40,116,33884
40,117,4503
40,118,2227
40,119,10889
40,120,8554
40,121,19599
40,122,7593
40,123,29418
40,124,6571
40,125,19411
40,126,27253
40,127,34323
40,128,8579
40,129,30758
40,130,28164
40,131,29765
40,132,16596
40,133,42266
40,134,19658
40,135,33676
40,136,13022
40,137,26415
40,138,3915
40,139,37225
40,140,468
40,141,25066
40,142,34043
40,143,44204
40,144,15199
40,145,25854
40,146,10350
40,147,35543
40,148,19592
40,149,34626
40,150,23939
80,1,30379
80,2,42159
80,3,45673
80,4,30734
80,5,29072
80,6,34094
80,7,29144
80,8,41697
80,9,7806
80,10,44522
80,11,13416
80,12,37441
80,13,21202
80,14,41816
80,15,38662
80,16,33242
80,17,23875
80,18,11258
80,19,42432
80,20,38849
80,21,28940
80,22,30192
80,23,35719
80,24,30061
80,25,40209
80,26,5329
80,27,3499
80,28,5927
80,29,23986
80,30,41792
80,31,19831
80,32,2237
80,33,29331
80,34,19687
80,35,40667
80,36,2091
80,37,11108
80,38,37640
80,39,30864
80,40,14800
80,41,8571
80,42,36396
80,43,30078
80,44,38253
80,45,37761
80,46,12622
80,47,38212
80,48,15322
80,49,13468
80,50,20298
80,51,8852
80,52,16210
80,53,18577
80,54,2358
80,55,22116
80,56,23591
80,57,158
80,58,40693
80,59,1291
80,60,44630
80,61,1770
80,62,44807
80,63,9596
80,64,18993
80,65,20900
80,66,38656
80,67,41710
80,68,43363
80,69,33743
80,70,25381
80,71,46438
80,72,14835
80,73,33610
80,74,11032
80,75,7138
80,76,34864
80,77,45031
80,78,31560
80,79,34915
80,80,27958
80,81,8511
80,82,37041
80,83,35029
80,84,10201
80,85,27625
80,86,16748
80,87,211
80,88,45880
80,89,43819
80,90,21459
80,91,17515
80,92,44657
80,93,34191
80,94,13006
80,95,35364
80,96,8672
80,97,1697
80,98,34273
80,99,22366
80,100,36328
80,101,15847
80,102,19087
80,103,37427
80,104,28364
80,105,40438
80,106,42420
80,107,19844
80,108,39068
80,109,35221
80,110,45384
80,111,7709
80,112,16360
80,113,23377
80,114,24006
80,115,31419
80,116,6174
80,117,5161
80,118,46529
80,119,33132
80,120,36406
80,121,38101
80,122,19201
80,123,3578
80,124,14654
80,125,37453
80,126,36002
80,127,1103
80,128,24411
80,129,28124
80,130,42226
80,131,11610
80,132,3519
80,133,46742
80,134,24344
80,135,5174
80,136,21770
80,137,21098
80,138,25594
80,139,6518
80,140,2666
80,141,31363
80,142,13223
80,143,23573
80,144,19091
80,145,23893
80,146,16548
80,147,33211
80,148,17537
80,149,18657
80,150,22202
120,1,26189
120,2,4867
120,3,45763
120,4,24007
120,5,33744
120,6,45320
120,7,2780
120,8,41587
120,9,36046
120,10,23782
120,11,27180
120,12,16630
120,13,37011
120,14,4371
120,15,46211
120,16,21308
120,17,24046
120,18,7012
120,19,43166
120,20,30778
120,21,28669
120,22,24651
120,23,9015
120,24,26938
120,25,34183
120,26,37481
120,27,12990
120,28,7693
120,29,41607
120,30,18771
120,31,36063
120,32,28641
120,33,16133
120,34,42031
120,35,14076
120,36,15046
120,37,37474
120,38,14989
120,39,32272
120,40,1072
120,41,29003
120,42,39536
120,43,20766
120,44,36365
120,45,27562
120,46,31087
120,47,20536
120,48,41275
120,49,3461
120,50,11416
120,51,46727
120,52,28469
120,53,17455
120,54,15915
120,55,29296
120,56,38521
120,57,15959
120,58,23149
120,59,573
120,60,9204
120,61,19481
120,62,335
120,63,19115
120,64,27912
120,65,13116
120,66,9794
120,67,17055
120,68,4372
120,69,19120
120,70,22537
120,71,40676
120,72,34701
120,73,44355
120,74,35396
120,75,40850
120,76,13105
120,77,39589
120,78,23407
120,79,30425
120,80,46593
120,81,44177
120,82,6049
120,83,3284
120,84,34366
120,85,24187
120,86,7140
120,87,34587
120,88,46435
120,89,42288
120,90,42711
120,91,6507
120,92,8455
120,93,15903
120,94,6935
120,95,22739
120,96,5695
120,97,20060
120,98,18680
120,99,37436
120,100,26929
120,101,9490
120,102,18619
120,103,44031
120,104,1416
120,105,10500
120,106,9656
120,107,4173
120,108,165
120,109,37098
120,110,34256
120,111,8429
120,112,31013
120,113,18574
120,114,34776
120,115,37121
120,116,31361
120,117,44193
120,118,1851
120,119,39321
120,120,17701
120,121,5731
120,122,6991
120,123,42299
120,124,12221
120,125,20055
120,126,19772
120,127,26151
120,128,35504
120,129,20000
120,130,3140
120,131,24288
120,132,39893
120,133,10832
120,134,46579
120,135,17440
120,136,17437
120,137,36741
120,138,8524
120,139,16256
120,140,3565
120,141,275
120,142,22836
120,143,11199
120,144,34003
120,145,18655
120,146,12181
120,147,22048
120,148,28666
120,149,10415
120,150,9968
160,1,25385
160,2,42383
160,3,17375
160,4,36618
160,5,14066
160,6,5035
160,7,21121
160,8,6160
160,9,22942
160,10,37042
160,11,5379
160,12,22910
160,13,11757
160,14,20852
160,15,18292
160,16,35622
160,17,41304
160,18,12245
160,19,27365
160,20,4426
160,21,4833
160,22,41411
160,23,3027
160,24,38296
160,25,46513
160,26,13020
160,27,41563
160,28,7462
160,29,18010
160,30,9180
160,31,43993
160,32,3162
160,33,28248
160,34,8763
160,35,19321
160,36,3653
160,37,25695
160,38,6373
160,39,43483
160,40,39718
160,41,30834
160,42,14040
160,43,37232
160,44,3392
160,45,36304
160,46,27403
160,47,23568
160,48,38572
160,49,9414
160,50,6562
160,51,46730
160,52,43928
160,53,27237
160,54,14809
160,55,41462
160,56,32834
160,57,30075
160,58,25647
160,59,30258
160,60,24277
160,61,12184
160,62,36823
160,63,17468
160,64,33150
160,65,14591
160,66,27326
160,67,30926
160,68,39227
160,69,8758
160,70,42696
160,71,24049
160,72,27673
160,73,40206
160,74,15942
160,75,15603
160,76,15567
160,77,31602
160,78,8523
160,79,21621
160,80,23996
160,81,31313
160,82,618
160,83,19210
160,84,40929
160,85,32107
160,86,34957
160,87,8117
160,88,26106
160,89,46599
160,90,38363
160,91,35462
160,92,39946
160,93,2198
160,94,40001
160,95,6247
160,96,7910
160,97,33435
160,98,28403
160,99,17209
160,100,16202
160,101,20591
160,102,39637
160,103,25776
160,104,36247
160,105,3755
160,106,860
160,107,25387
160,108,20698
160,109,1012
160,110,5496
160,111,36315
160,112,44939
160,113,45114
160,114,31581
160,115,17154
160,116,37701
160,117,46088
160,118,38191
160,119,35856
160,120,8451
160,121,20190
160,122,24083
160,123,27458
160,124,2460
160,125,20394
160,126,34490
160,127,23554
160,128,3395
160,129,38856
160,130,29821
160,131,28437
160,132,7316
160,133,13250
160,134,2063
160,135,4962
160,136,27960
160,137,6304
160,138,30840
160,139,34022
160,140,15601
160,141,13706
160,142,33020
160,143,13089
160,144,39830
160,145,29693
160,146,24469
160,147,36396
160,148,18766
160,149,7768
160,150,11607
200,1,16107
200,2,43503
200,3,10637
200,4,29425
200,5,42202
200,6,19183
200,7,29565
200,8,37784
200,9,6308
200,10,7192
200,11,10935
200,12,41820
200,13,16374
200,14,41200
200,15,13069
200,16,34721
200,17,32158
200,18,46315
200,19,24830
200,20,30567
200,21,17137
200,22,440
200,23,20942
200,24,9744
200,25,23960
200,26,45475
200,27,39479
200,28,28035
200,29,36780
200,30,5045
200,31,23118
200,32,13444
200,33,22085
200,34,29376
200,35,35692
200,36,39589
200,37,19936
200,38,43403
200,39,5685
200,40,28301
200,41,34576
200,42,4843
200,43,45672
200,44,26661
200,45,17267
200,46,19590
200,47,36191
200,48,16636
200,49,14639
200,50,32555
200,51,45480
200,52,37716
200,53,19454
200,54,9799
200,55,28627
200,56,33933
200,57,30539
200,58,1473
200,59,43801
200,60,9817
200,61,23047
200,62,10520
200,63,32526
200,64,5117
200,65,33846
200,66,39384
200,67,46419
200,68,33401
200,69,5773
200,70,3741
200,71,19370
200,72,5331
200,73,1494
200,74,4252
200,75,19555
200,76,38887
200,77,24370
200,78,8125
200,79,33575
200,80,26725
200,81,23125
200,82,43376
200,83,34579
200,84,8497
200,85,24646
200,86,27320
200,87,31703
200,88,31739
200,89,42648
200,90,41322
200,91,33832
200,92,42798
200,93,3032
200,94,29309
200,95,24443
200,96,12371
200,97,12042
200,98,17113
200,99,21592
200,100,4062
200,101,35394
200,102,6263
200,103,45974
200,104,35441
200,105,15535
200,106,37313
200,107,101
200,108,41300
200,109,27923
200,110,8344
200,111,8147
200,112,18495
200,113,39989
200,114,41327
200,115,38891
200,116,27239
200,117,33517
200,118,2519
200,119,36446
200,120,18355
200,121,38282
200,122,27958
200,123,37280
200,124,24392
200,125,44789
200,126,1378
200,127,4015
200,128,36897
200,129,9326
200,130,28953
200,131,35270
200,132,32434
200,133,2067
200,134,30591
200,135,41669
200,136,19701
200,137,39056
200,138,1420
200,139,9556
200,140,23832
200,141,26567
200,142,17719
200,143,28899
200,144,44873
200,145,8556
200,146,27919
200,147,28616
200,148,11445
200,149,43715
200,150,27214
240,1,27309
240,2,45377
240,3,12736
240,4,23153
240,5,22124
240,6,6741
240,7,22353
240,8,41930
240,9,23104
240,10,34245
240,11,41283
240,12,13522
240,13,38501
240,14,30056
240,15,37047
240,16,26062
240,17,30511
240,18,13550
240,19,20557
240,20,31547
240,21,15128
240,22,3336
240,23,27025
240,24,29431
240,25,10513
240,26,44803
240,27,26934
240,28,40959
240,29,1198
240,30,26294
240,31,44519
240,32,40315
240,33,9195
240,34,40614
240,35,1963
240,36,27029
240,37,8824
240,38,32030
240,39,10914
240,40,21008
240,41,33258
240,42,14383
240,43,27481
240,44,811
240,45,12436
240,46,4557
240,47,27207
240,48,46364
240,49,19173
240,50,4524
240,51,23815
240,52,38733
240,53,31302
240,54,28862
240,55,43479
240,56,9686
240,57,29513
240,58,2298
240,59,27960
240,60,6077
240,61,46271
240,62,27007
240,63,41238
240,64,6070
240,65,437
240,66,35621
240,67,14946
240,68,28666
240,69,29594
240,70,41646
240,71,12646
240,72,2775
240,73,10754
240,74,28497
240,75,6463
240,76,39123
240,77,22420
240,78,36685
240,79,692
240,80,33250
240,81,17964
240,82,23274
240,83,43953
240,84,4416
240,85,12943
240,86,28399
240,87,20373
240,88,15866
240,89,20292
240,90,30596
240,91,7539
240,92,17323
240,93,29358
240,94,6883
240,95,17406
240,96,43380
240,97,4529
240,98,27839
240,99,9677
240,100,11584
240,101,5513
240,102,25506
240,103,44265
240,104,27770
240,105,34204
240,106,3221
240,107,2188
240,108,30856
240,109,28333
240,110,29115
240,111,28078
240,112,26667
240,113,3055
240,114,42782
240,115,44723
240,116,27107
240,117,46197
240,118,32633
240,119,2799
240,120,25153
240,121,19195
240,122,23746
240,123,34721
240,124,36177
240,125,19122
240,126,39951
240,127,29766
240,128,18673
240,129,19705
240,130,11701
240,131,15822
240,132,38715
240,133,43507
240,134,13837
240,135,39080
240,136,15290
240,137,18094
240,138,28250
240,139,15243
240,140,31316
240,141,31349
240,142,12833
240,143,44387
240,144,3199
240,145,45217
240,146,37529
240,147,42901
240,148,6740
240,149,30435
240,150,24148
280,1,31450
280,2,24057
280,3,46288
280,4,26340
280,5,1820
280,6,39148
280,7,2946
280,8,2557
280,9,30050
280,10,45570
280,11,14286
280,12,3688
280,13,23067
280,14,13649
280,15,22588
280,16,9003
280,17,40144
280,18,38176
280,19,8933
280,20,46381
280,21,26199
280,22,34312
280,23,22011
280,24,13103
280,25,38604
280,26,40515
280,27,43181
280,28,31972
280,29,500
280,30,12441
280,31,2437
280,32,46196
280,33,32684
280,34,18073
280,35,35749
280,36,39143
280,37,875
280,38,33957
280,39,11863
280,40,12120
280,41,44382
280,42,40772
280,43,18442
280,44,10366
280,45,44572
280,46,6029
280,47,25281
280,48,7162
280,49,20792
280,50,13354
280,51,42904
280,52,34123
280,53,24679
280,54,27386
280,55,18219
280,56,13836
280,57,10195
280,58,11520
280,59,5049
280,60,5969
280,61,1449
280,62,14158
280,63,18512
280,64,14091
280,65,34954
280,66,4788
280,67,12753
280,68,27194
280,69,32986
280,70,23773
280,71,14077
280,72,31272
280,73,16161
280,74,21871
280,75,2833
280,76,40555
280,77,18154
280,78,23680
280,79,31052
280,80,25048
280,81,35427
280,82,29223
280,83,328
280,84,14995
280,85,8877
280,86,27488
280,87,36634
280,88,30548
280,89,18059
280,90,14329
280,91,36469
280,92,45803
280,93,26594
280,94,9604
280,95,2790
280,96,43482
280,97,10339
280,98,3766
280,99,19574
280,100,45999
280,101,17844
280,102,24936
280,103,8882
280,104,40981
280,105,46027
280,106,4733
280,107,18437
280,108,18685
280,109,23796
280,110,3364
280,111,21320
