segment_length,rank0,rank1,rank2,rank3
40,150,0,0,0
80,150,0,0,0
120,0,150,0,0
160,0,150,0,0
200,0,150,0,0
240,0,150,0,0
280,0,150,0,0
320,0,150,0,0
360,0,150,0,0
400,0,150,0,0
440,0,150,0,0
480,0,150,0,0
520,0,150,0,0
560,0,150,0,0
600,0,150,0,0
640,0,150,0,0
680,0,150,0,0
720,0,150,0,0
760,0,150,0,0
800,0,150,0,0
840,0,150,0,0
880,0,150,0,0
920,0,150,0,0
960,0,150,0,0
1000,0,150,0,0
1040,0,150,0,0
1080,0,150,0,0
1120,0,150,0,0
1160,0,150,0,0
1200,0,150,0,0
1240,0,150,0,0
1280,0,150,0,0
1320,0,150,0,0
1360,0,150,0,0
1400,0,150,0,0
1440,0,150,0,0
1480,0,150,0,0
1520,0,150,0,0
1560,0,150,0,0
1600,0,150,0,0
