segment_length,run_index,start_index
40,1,37564
40,2,7094
40,3,34432
40,4,10646
40,5,14520
40,6,44603
40,7,7652
40,8,4632
40,9,14312
40,10,10067
40,11,25714
40,12,37315
40,13,29744
40,14,39241
40,15,25677
40,16,3201
40,17,6854
40,18,3093
40,19,6883
40,20,26234
40,21,24452
40,22,24734
40,23,17133
40,24,2033
40,25,12739
40,26,5375
40,27,32473
40,28,13282
40,29,10682
40,30,26685
40,31,39473
40,32,43250
40,33,41367
40,34,4841
40,35,46720
40,36,6217
40,37,29213
40,38,12013
40,39,10312
40,40,204
40,41,46859
40,42,39759
40,43,31598
40,44,18249
40,45,20932
40,46,26880
40,47,34160
40,48,46374
40,49,23066
40,50,38987
40,51,35835
40,52,13763
40,53,42671
40,54,22742
40,55,33181
40,56,20692
40,57,41127
40,58,38080
40,59,3799
40,60,38690
40,61,32542
40,62,12597
40,63,17834
40,64,46153
40,65,5963
40,66,27817
40,67,17582
40,68,9741
40,69,26930
40,70,45953
40,71,35840
40,72,43004
40,73,29282
40,74,4815
40,75,10716
40,76,10747
40,77,21744
40,78,18427
40,79,22897
40,80,6245
40,81,36523
40,82,27259
40,83,26775
40,84,42529
40,85,35406
40,86,39243
40,87,26284
40,88,44701
40,89,33516
40,90,5725
40,91,42472
40,92,38889
40,93,26740
40,94,7748
40,95,21754
40,96,1480
40,97,644
40,98,34699
40,99,24184
40,100,3893
40,101,46098
40,102,26562
40,103,7440
40,104,5116
40,105,43809
40,106,18902
40,107,41523
40,108,10638
40,109,24677
40,110,40476
40,111,13907
40,112,46199
40,113,17432
40,114,46520
40,115,34900
40,116,33903
40,117,4505
40,118,2228
40,119,10895
40,120,8559
40,121,19610
40,122,7597
40,123,29434
40,124,6574
40,125,19421
40,126,27268
40,127,34342
40,128,8583
40,129,30775
40,130,28179
40,131,29782
40,132,16605
40,133,42289
40,134,19669
40,135,33694
40,136,13029
40,137,26430
40,138,3917
40,139,37246
40,140,468
40,141,25080
40,142,34062
40,143,44228
40,144,15207
40,145,25869
40,146,10356
40,147,35563
40,148,19603
40,149,34646
40,150,23953
80,1,30396
80,2,42182
80,3,45698
80,4,30751
80,5,29088
80,6,34113
80,7,29161
80,8,41720
80,9,7811
80,10,44547
80,11,13424
80,12,37462
80,13,21214
80,14,41839
80,15,38683
80,16,33260
80,17,23888
80,18,11264
80,19,42455
80,20,38871
80,21,28956
80,22,30209
80,23,35738
80,24,30078
80,25,40232
80,26,5332
80,27,3501
80,28,5931
80,29,23999
80,30,41815
80,31,19842
80,32,2238
80,33,29348
80,34,19698
80,35,40690
80,36,2092
80,37,11114
80,38,37661
80,39,30881
80,40,14809
80,41,8575
80,42,36416
80,43,30095
80,44,38275
80,45,37782
80,46,12629
80,47,38233
80,48,15330
80,49,13475
80,50,20309
80,51,8857
80,52,16219
80,53,18587
80,54,2359
80,55,22129
80,56,23604
80,57,158
80,58,40716
80,59,1292
80,60,44655
80,61,1771
80,62,44831
80,63,9601
80,64,19003
80,65,20912
80,66,38678
80,67,41733
80,68,43387
80,69,33762
80,70,25395
80,71,46464
80,72,14843
80,73,33629
80,74,11038
80,75,7142
80,76,34883
80,77,45056
80,78,31577
80,79,34934
80,80,27973
80,81,8516
80,82,37062
80,83,35048
80,84,10207
80,85,27640
80,86,16757
80,87,211
80,88,45905
80,89,43844
80,90,21470
80,91,17525
80,92,44681
80,93,34210
80,94,13014
80,95,35384
80,96,8677
80,97,1698
80,98,34292
80,99,22379
80,100,36348
80,101,15856
80,102,19098
80,103,37448
80,104,28379
80,105,40461
80,106,42443
80,107,19855
80,108,39090
80,109,35241
80,110,45409
80,111,7713
80,112,16369
80,113,23390
80,114,24019
80,115,31437
80,116,6178
80,117,5164
80,118,46555
80,119,33150
80,120,36426
80,121,38123
80,122,19212
80,123,3580
80,124,14662
80,125,37474
80,126,36022
80,127,1103
80,128,24425
80,129,28140
80,130,42249
80,131,11616
80,132,3521
80,133,46768
80,134,24358
80,135,5177
80,136,21782
80,137,21109
80,138,25608
80,139,6521
80,140,2667
80,141,31380
80,142,13230
80,143,23586
80,144,19102
80,145,23906
80,146,16557
80,147,33230
80,148,17547
80,149,18667
80,150,22214
120,1,26203
120,2,4870
120,3,45789
120,4,24021
120,5,33762
120,6,45346
120,7,2781
120,8,41610
120,9,36066
120,10,23796
120,11,27195
120,12,16640
120,13,37031
120,14,4373
120,15,46237
120,16,21320
120,17,24059
120,18,7016
120,19,43190
120,20,30796
120,21,28685
120,22,24665
120,23,9020
120,24,26953
120,25,34202
120,26,37502
120,27,12998
120,28,7698
120,29,41630
120,30,18781
120,31,36083
120,32,28657
120,33,16142
120,34,42055
120,35,14084
120,36,15054
120,37,37495
120,38,14998
120,39,32290
120,40,1073
120,41,29019
120,42,39558
120,43,20777
120,44,36386
120,45,27577
120,46,31104
120,47,20547
120,48,41298
120,49,3463
120,50,11423
120,51,46753
120,52,28485
120,53,17465
120,54,15924
120,55,29313
120,56,38543
120,57,15967
120,58,23162
120,59,573
120,60,9209
120,61,19492
120,62,335
120,63,19126
120,64,27928
120,65,13123
120,66,9800
120,67,17064
120,68,4375
120,69,19131
120,70,22550
120,71,40698
120,72,34720
120,73,44380
120,74,35416
120,75,40873
120,76,13112
120,77,39611
120,78,23420
120,79,30442
120,80,46619
120,81,44202
120,82,6052
120,83,3286
120,84,34385
120,85,24201
120,86,7144
120,87,34606
120,88,46461
120,89,42312
120,90,42735
120,91,6510
120,92,8459
120,93,15912
120,94,6939
120,95,22752
120,96,5698
120,97,20071
120,98,18690
120,99,37457
120,100,26944
120,101,9496
120,102,18630
120,103,44056
120,104,1416
120,105,10506
120,106,9661
120,107,4175
120,108,165
120,109,37118
120,110,34275
120,111,8433
120,112,31031
120,113,18584
120,114,34795
120,115,37141
120,116,31378
120,117,44217
120,118,1852
120,119,39343
120,120,17711
120,121,5734
120,122,6995
120,123,42323
120,124,12228
120,125,20066
120,126,19783
120,127,26166
120,128,35524
120,129,20011
120,130,3141
120,131,24301
120,132,39915
120,133,10838
120,134,46605
120,135,17450
120,136,17447
120,137,36762
120,138,8528
120,139,16265
120,140,3567
120,141,275
120,142,22848
120,143,11205
120,144,34022
120,145,18666
120,146,12188
120,147,22060
120,148,28682
120,149,10421
120,150,9974
